time,open,high,low,close,volume,note
2022-03-15,59.0000,71.6500,58.0800,60.6000,25005046,sz.301236 | 软通动力 | baostock | adjustflag=3 raw
2023-08-23,22.3200,22.4900,21.8000,21.8500,8105097,sz.301236 | 软通动力 | baostock | adjustflag=3 raw
2023-08-24,21.9000,22.1000,21.3800,21.3900,11611647,sz.301236 | 软通动力 | baostock | adjustflag=3 raw
2023-08-25,20.0900,20.6000,19.0500,19.6600,31939026,sz.301236 | 软通动力 | baostock | adjustflag=3 raw
2023-08-28,21.3000,21.3400,19.5700,19.6000,20075369,sz.301236 | 软通动力 | baostock | adjustflag=3 raw
2023-08-29,19.6000,20.4300,19.5800,20.2600,21206476,sz.301236 | 软通动力 | baostock | adjustflag=3 raw
2023-08-30,20.7100,21.3200,20.6600,21.0000,27011868,sz.301236 | 软通动力 | baostock | adjustflag=3 raw
2023-08-31,21.0100,21.0200,20.5800,20.6400,14973767,sz.301236 | 软通动力 | baostock | adjustflag=3 raw
2023-09-01,20.6700,20.8200,20.2600,20.3600,11198332,sz.301236 | 软通动力 | baostock | adjustflag=3 raw
2023-09-04,20.5300,24.2800,20.3300,23.7400,44184434,sz.301236 | 软通动力 | baostock | adjustflag=3 raw
2023-09-05,23.4000,25.9500,23.1300,23.9700,96624623,sz.301236 | 软通动力 | baostock | adjustflag=3 raw
2023-09-06,23.5500,26.2500,22.9900,25.6300,90958363,sz.301236 | 软通动力 | baostock | adjustflag=3 raw
2023-09-07,25.3000,27.8200,24.9600,27.1000,118046870,sz.301236 | 软通动力 | baostock | adjustflag=3 raw
2023-09-08,27.2000,28.2200,26.4100,26.5000,115213564,sz.301236 | 软通动力 | baostock | adjustflag=3 raw
2023-09-11,26.2000,28.5000,25.9900,27.2500,104798660,sz.301236 | 软通动力 | baostock | adjustflag=3 raw
2023-09-12,26.5200,27.7400,26.2600,26.5000,75566686,sz.301236 | 软通动力 | baostock | adjustflag=3 raw
2023-09-13,26.0100,26.2100,24.7900,25.2000,71087348,sz.301236 | 软通动力 | baostock | adjustflag=3 raw
2023-09-14,25.1200,26.3400,23.7900,25.2800,66206910,sz.301236 | 软通动力 | baostock | adjustflag=3 raw
2023-09-15,25.3100,26.1500,24.7300,25.5500,48723191,sz.301236 | 软通动力 | baostock | adjustflag=3 raw
2023-09-18,25.1500,27.4300,25.1500,26.6500,70131967,sz.301236 | 软通动力 | baostock | adjustflag=3 raw
2023-09-19,26.3000,26.5200,25.2500,25.8600,47453248,sz.301236 | 软通动力 | baostock | adjustflag=3 raw
2023-09-20,26.0500,26.4500,25.0300,25.2000,48133585,sz.301236 | 软通动力 | baostock | adjustflag=3 raw
2023-09-21,24.8000,26.6700,24.7000,26.5100,65064005,sz.301236 | 软通动力 | baostock | adjustflag=3 raw
2023-09-22,26.4100,28.0000,26.0600,27.8800,79659807,sz.301236 | 软通动力 | baostock | adjustflag=3 raw
2023-09-25,28.1100,29.9000,27.2700,28.0000,101492783,sz.301236 | 软通动力 | baostock | adjustflag=3 raw
2023-09-26,27.2500,27.3300,25.5500,25.5500,73890084,sz.301236 | 软通动力 | baostock | adjustflag=3 raw
2023-09-27,25.8100,26.6900,25.5700,25.9500,52263734,sz.301236 | 软通动力 | baostock | adjustflag=3 raw
2023-09-28,26.0300,26.8500,25.7000,26.5800,45107727,sz.301236 | 软通动力 | baostock | adjustflag=3 raw
2023-10-09,26.7200,28.5000,26.6200,27.2800,63359927,sz.301236 | 软通动力 | baostock | adjustflag=3 raw
2023-10-10,27.2900,30.9300,26.9600,30.0000,108420828,sz.301236 | 软通动力 | baostock | adjustflag=3 raw
2023-10-11,29.2500,29.8400,28.7000,29.0000,77058001,sz.301236 | 软通动力 | baostock | adjustflag=3 raw
2023-10-12,28.8300,31.4700,28.8300,29.9600,81512354,sz.301236 | 软通动力 | baostock | adjustflag=3 raw
2023-10-13,29.7800,32.0000,29.6600,31.4700,82763880,sz.301236 | 软通动力 | baostock | adjustflag=3 raw
2023-10-16,31.7100,33.2000,30.4300,31.0300,81416282,sz.301236 | 软通动力 | baostock | adjustflag=3 raw
2023-10-17,31.0000,31.0000,28.9000,29.2100,58579746,sz.301236 | 软通动力 | baostock | adjustflag=3 raw
2023-10-18,29.4700,32.7000,29.2100,32.3900,96856912,sz.301236 | 软通动力 | baostock | adjustflag=3 raw
2023-10-19,31.8000,32.8700,29.8200,30.0000,85719343,sz.301236 | 软通动力 | baostock | adjustflag=3 raw
2023-10-20,30.0000,30.6000,28.7500,29.0400,56202076,sz.301236 | 软通动力 | baostock | adjustflag=3 raw
2023-10-23,28.7100,29.7400,28.1600,29.2500,43615432,sz.301236 | 软通动力 | baostock | adjustflag=3 raw
2023-10-24,29.1800,29.1800,26.6900,26.8800,59169018,sz.301236 | 软通动力 | baostock | adjustflag=3 raw
2023-10-25,27.0900,32.2600,27.0900,32.2600,98605840,sz.301236 | 软通动力 | baostock | adjustflag=3 raw
2023-10-26,32.9400,35.3600,32.0500,34.3500,138210763,sz.301236 | 软通动力 | baostock | adjustflag=3 raw
2023-10-27,34.1900,34.7500,32.6100,33.0100,93947558,sz.301236 | 软通动力 | baostock | adjustflag=3 raw
2023-10-30,33.5400,35.9800,33.1800,34.8000,103506885,sz.301236 | 软通动力 | baostock | adjustflag=3 raw
2023-10-31,34.6900,36.5800,33.5100,35.7300,93040929,sz.301236 | 软通动力 | baostock | adjustflag=3 raw
2023-11-01,34.9900,35.1800,32.9900,33.4700,61959221,sz.301236 | 软通动力 | baostock | adjustflag=3 raw
2023-11-02,33.3800,34.2600,32.4300,33.5200,61016884,sz.301236 | 软通动力 | baostock | adjustflag=3 raw
2023-11-03,33.0300,35.2000,33.0300,34.7700,69797307,sz.301236 | 软通动力 | baostock | adjustflag=3 raw
2023-11-06,34.5600,35.4600,33.7000,34.8200,64033768,sz.301236 | 软通动力 | baostock | adjustflag=3 raw
2023-11-07,34.8100,35.2700,33.5000,33.6400,58006481,sz.301236 | 软通动力 | baostock | adjustflag=3 raw
2023-11-08,33.3700,36.3100,33.2100,35.9100,90864164,sz.301236 | 软通动力 | baostock | adjustflag=3 raw
2023-11-09,35.7100,35.7100,33.9000,34.3500,59257874,sz.301236 | 软通动力 | baostock | adjustflag=3 raw
2023-11-10,37.7700,40.3900,35.8900,37.5900,128740482,sz.301236 | 软通动力 | baostock | adjustflag=3 raw
2023-11-13,39.1000,45.1100,39.0900,45.1100,126789517,sz.301236 | 软通动力 | baostock | adjustflag=3 raw
2023-11-14,45.9800,49.6300,45.2900,47.4600,160476546,sz.301236 | 软通动力 | baostock | adjustflag=3 raw
2023-11-15,47.6500,51.5000,46.4700,46.4700,145326744,sz.301236 | 软通动力 | baostock | adjustflag=3 raw
2023-11-16,46.0800,47.4100,45.2200,45.7900,111851491,sz.301236 | 软通动力 | baostock | adjustflag=3 raw
2023-11-17,45.6800,46.2200,43.5200,44.3600,88427102,sz.301236 | 软通动力 | baostock | adjustflag=3 raw
2023-11-20,45.6900,47.9000,45.1800,47.3000,107981677,sz.301236 | 软通动力 | baostock | adjustflag=3 raw
2023-11-21,46.7800,47.7800,44.4500,44.9200,86585106,sz.301236 | 软通动力 | baostock | adjustflag=3 raw
2023-11-22,44.0300,45.7800,43.7900,43.9700,60863917,sz.301236 | 软通动力 | baostock | adjustflag=3 raw
2023-11-23,43.0700,44.4000,41.6000,44.0700,63453320,sz.301236 | 软通动力 | baostock | adjustflag=3 raw
2023-11-24,44.6400,44.7400,41.6300,42.0700,53820254,sz.301236 | 软通动力 | baostock | adjustflag=3 raw
2023-11-27,42.2800,43.5400,42.0800,42.2800,46611191,sz.301236 | 软通动力 | baostock | adjustflag=3 raw
2023-11-28,42.5000,42.6100,39.9500,41.0800,60798720,sz.301236 | 软通动力 | baostock | adjustflag=3 raw
2023-11-29,40.6800,41.7500,40.5800,40.6700,40922426,sz.301236 | 软通动力 | baostock | adjustflag=3 raw
2023-11-30,40.3000,40.7000,38.8200,40.0300,57517358,sz.301236 | 软通动力 | baostock | adjustflag=3 raw
2023-12-01,39.9500,41.2000,39.8800,40.7700,51085437,sz.301236 | 软通动力 | baostock | adjustflag=3 raw
2023-12-04,40.9600,44.3900,40.3800,42.7600,82158948,sz.301236 | 软通动力 | baostock | adjustflag=3 raw
2023-12-05,42.0000,42.3000,39.4000,39.4000,65224829,sz.301236 | 软通动力 | baostock | adjustflag=3 raw
2023-12-06,39.1100,39.9900,38.8000,38.9900,46195476,sz.301236 | 软通动力 | baostock | adjustflag=3 raw
2023-12-07,38.9400,39.5000,38.3200,38.9000,44371841,sz.301236 | 软通动力 | baostock | adjustflag=3 raw
2023-12-08,39.0600,41.3800,38.9300,40.8100,72608457,sz.301236 | 软通动力 | baostock | adjustflag=3 raw
2023-12-11,41.4400,44.0100,41.3000,41.9500,76858308,sz.301236 | 软通动力 | baostock | adjustflag=3 raw
2023-12-12,41.6000,45.9900,41.6000,44.4500,84275001,sz.301236 | 软通动力 | baostock | adjustflag=3 raw
2023-12-13,44.0000,44.9600,43.2800,43.7800,51110039,sz.301236 | 软通动力 | baostock | adjustflag=3 raw
2023-12-14,44.1800,44.4800,42.3000,43.1500,46736789,sz.301236 | 软通动力 | baostock | adjustflag=3 raw
2023-12-15,43.4700,45.3200,42.5700,43.8500,56626175,sz.301236 | 软通动力 | baostock | adjustflag=3 raw
2023-12-18,43.5000,44.1400,41.2000,41.2900,54790347,sz.301236 | 软通动力 | baostock | adjustflag=3 raw
2023-12-19,42.1600,44.6000,41.6300,44.1400,77884675,sz.301236 | 软通动力 | baostock | adjustflag=3 raw
2023-12-20,44.0100,46.1000,43.5000,43.8600,61757032,sz.301236 | 软通动力 | baostock | adjustflag=3 raw
2023-12-21,42.8000,45.9000,41.8000,45.3400,75629470,sz.301236 | 软通动力 | baostock | adjustflag=3 raw
2023-12-22,44.7600,45.0000,42.5100,43.6700,65323425,sz.301236 | 软通动力 | baostock | adjustflag=3 raw
2023-12-25,43.3100,44.0800,41.3300,42.1000,43188295,sz.301236 | 软通动力 | baostock | adjustflag=3 raw
2023-12-26,42.3600,42.5500,39.4200,39.9500,49500433,sz.301236 | 软通动力 | baostock | adjustflag=3 raw
2023-12-27,41.0000,42.1500,40.5800,41.3600,47643739,sz.301236 | 软通动力 | baostock | adjustflag=3 raw
2023-12-28,40.9000,42.6600,40.4100,41.7900,47505343,sz.301236 | 软通动力 | baostock | adjustflag=3 raw
2023-12-29,41.7000,46.6400,41.3800,46.2000,83348775,sz.301236 | 软通动力 | baostock | adjustflag=3 raw
2024-01-02,46.5700,48.1000,46.0000,46.5000,71934174,sz.301236 | 软通动力 | baostock | adjustflag=3 raw
2024-01-03,47.0000,48.5700,46.6000,47.7400,67111563,sz.301236 | 软通动力 | baostock | adjustflag=3 raw
2024-01-04,47.4700,49.8800,45.5000,45.8900,95509297,sz.301236 | 软通动力 | baostock | adjustflag=3 raw
2024-01-05,46.0100,47.5900,45.2100,46.4100,65433818,sz.301236 | 软通动力 | baostock | adjustflag=3 raw
2024-01-08,44.9500,44.9500,42.5300,42.5600,60701098,sz.301236 | 软通动力 | baostock | adjustflag=3 raw
2024-01-09,43.0000,43.7800,42.3300,42.8100,38157153,sz.301236 | 软通动力 | baostock | adjustflag=3 raw
2024-01-10,42.2800,43.9800,41.3000,42.3300,39614647,sz.301236 | 软通动力 | baostock | adjustflag=3 raw
2024-01-11,42.5300,49.4000,42.1200,48.5000,87360225,sz.301236 | 软通动力 | baostock | adjustflag=3 raw
2024-01-12,48.4900,49.3800,47.0100,47.2100,61756839,sz.301236 | 软通动力 | baostock | adjustflag=3 raw
2024-01-15,47.8000,48.2000,46.8200,47.2200,45057457,sz.301236 | 软通动力 | baostock | adjustflag=3 raw
2024-01-16,47.1400,47.7000,45.5900,47.6000,49828660,sz.301236 | 软通动力 | baostock | adjustflag=3 raw
2024-01-17,47.0800,48.0900,44.7700,45.3800,61065220,sz.301236 | 软通动力 | baostock | adjustflag=3 raw
2024-01-18,46.1100,46.5000,43.8900,45.3900,61455252,sz.301236 | 软通动力 | baostock | adjustflag=3 raw
2024-01-19,44.6100,45.0000,41.1500,41.1500,73354989,sz.301236 | 软通动力 | baostock | adjustflag=3 raw
2024-01-22,39.7000,41.0900,35.7800,36.2000,81395741,sz.301236 | 软通动力 | baostock | adjustflag=3 raw
2024-01-23,36.0100,37.8800,35.6600,37.1200,52301696,sz.301236 | 软通动力 | baostock | adjustflag=3 raw
2024-01-24,37.4000,37.5600,34.8600,36.3500,59030225,sz.301236 | 软通动力 | baostock | adjustflag=3 raw
2024-01-25,36.4200,37.7100,35.8800,36.8900,54127819,sz.301236 | 软通动力 | baostock | adjustflag=3 raw
2024-01-26,36.1700,36.7500,34.6000,34.7900,53691819,sz.301236 | 软通动力 | baostock | adjustflag=3 raw
2024-01-29,35.1100,36.3000,34.0000,34.0000,38331145,sz.301236 | 软通动力 | baostock | adjustflag=3 raw
2024-01-30,33.7200,34.8600,33.4200,33.5600,31007033,sz.301236 | 软通动力 | baostock | adjustflag=3 raw
2024-01-31,33.8700,33.9300,31.2900,31.3900,48496480,sz.301236 | 软通动力 | baostock | adjustflag=3 raw
2024-02-01,31.3900,34.0400,31.3700,32.5400,49205844,sz.301236 | 软通动力 | baostock | adjustflag=3 raw
2024-02-02,32.9000,33.3000,30.2900,31.2500,46371258,sz.301236 | 软通动力 | baostock | adjustflag=3 raw
2024-02-05,31.0100,31.6700,28.6500,29.3400,50064965,sz.301236 | 软通动力 | baostock | adjustflag=3 raw
2024-02-06,28.9100,32.9300,28.9100,32.2500,56415208,sz.301236 | 软通动力 | baostock | adjustflag=3 raw
2024-02-07,31.7400,34.5000,31.7000,33.0800,59591933,sz.301236 | 软通动力 | baostock | adjustflag=3 raw
2024-02-08,34.3000,35.4800,33.8800,34.9400,49534898,sz.301236 | 软通动力 | baostock | adjustflag=3 raw
2024-02-19,36.3400,38.3600,35.3500,37.9800,74480386,sz.301236 | 软通动力 | baostock | adjustflag=3 raw
2024-02-20,36.9800,37.7600,36.5500,37.2100,48668291,sz.301236 | 软通动力 | baostock | adjustflag=3 raw
2024-02-21,36.5000,38.0900,36.3000,36.7000,52369144,sz.301236 | 软通动力 | baostock | adjustflag=3 raw
2024-02-22,37.8600,38.3300,36.9600,37.6000,61680187,sz.301236 | 软通动力 | baostock | adjustflag=3 raw
2024-02-23,39.2000,41.3500,38.5000,40.8100,85661561,sz.301236 | 软通动力 | baostock | adjustflag=3 raw
2024-02-26,40.1600,42.9300,39.4500,40.3200,78844539,sz.301236 | 软通动力 | baostock | adjustflag=3 raw
2024-02-27,40.0000,43.8800,39.7100,43.0100,76957686,sz.301236 | 软通动力 | baostock | adjustflag=3 raw
2024-02-28,43.0000,44.8100,41.1000,41.4000,92051271,sz.301236 | 软通动力 | baostock | adjustflag=3 raw
2024-02-29,42.0000,45.9600,41.6600,45.4700,93410867,sz.301236 | 软通动力 | baostock | adjustflag=3 raw
2024-03-01,45.4700,46.2000,44.4600,45.4800,74043093,sz.301236 | 软通动力 | baostock | adjustflag=3 raw
2024-03-04,47.5600,48.6400,45.5100,46.8500,78277840,sz.301236 | 软通动力 | baostock | adjustflag=3 raw
