time,open,high,low,close,volume,note
2026-01-05,11.3200,11.4300,11.3100,11.4200,6535100,sh.600054 | 黄山旅游 | baostock | adjustflag=3 raw
2026-03-10,12.5100,12.8800,12.4600,12.7900,11974249,sh.600054 | 黄山旅游 | baostock | adjustflag=3 raw
2026-03-11,12.8600,12.8600,12.6000,12.7200,8555314,sh.600054 | 黄山旅游 | baostock | adjustflag=3 raw
2026-03-12,12.6900,13.0600,12.6700,13.0000,14019050,sh.600054 | 黄山旅游 | baostock | adjustflag=3 raw
2026-03-13,13.0600,13.5500,12.9900,13.4600,21537821,sh.600054 | 黄山旅游 | baostock | adjustflag=3 raw
2026-03-16,13.5500,14.3500,13.4100,13.8200,32750077,sh.600054 | 黄山旅游 | baostock | adjustflag=3 raw
2026-03-17,13.5700,14.0200,13.5700,13.8000,16234699,sh.600054 | 黄山旅游 | baostock | adjustflag=3 raw
2026-03-18,13.6800,13.8900,13.4500,13.6800,14005050,sh.600054 | 黄山旅游 | baostock | adjustflag=3 raw
2026-03-19,13.6100,13.7000,13.4600,13.5800,9037501,sh.600054 | 黄山旅游 | baostock | adjustflag=3 raw
2026-03-20,13.6100,13.8700,13.4800,13.6100,12020831,sh.600054 | 黄山旅游 | baostock | adjustflag=3 raw
2026-03-23,13.5000,13.5600,12.3800,12.4400,18880442,sh.600054 | 黄山旅游 | baostock | adjustflag=3 raw
2026-03-24,12.8000,13.0600,12.5800,13.0500,12276700,sh.600054 | 黄山旅游 | baostock | adjustflag=3 raw
2026-03-25,13.0700,13.5700,13.0000,13.4500,11364304,sh.600054 | 黄山旅游 | baostock | adjustflag=3 raw
2026-03-26,13.4600,13.6400,13.2200,13.2800,11033174,sh.600054 | 黄山旅游 | baostock | adjustflag=3 raw
2026-03-27,13.1100,13.3900,13.0500,13.3400,7660299,sh.600054 | 黄山旅游 | baostock | adjustflag=3 raw
2026-03-30,13.1100,13.4200,13.1100,13.2300,6971348,sh.600054 | 黄山旅游 | baostock | adjustflag=3 raw
2026-03-31,13.2000,13.4800,12.8200,13.0000,9800836,sh.600054 | 黄山旅游 | baostock | adjustflag=3 raw
2026-04-01,13.1300,13.5600,12.9700,13.4800,12903324,sh.600054 | 黄山旅游 | baostock | adjustflag=3 raw
2026-04-02,13.4800,13.4800,13.0300,13.1800,11537787,sh.600054 | 黄山旅游 | baostock | adjustflag=3 raw
2026-04-03,13.2000,13.2400,12.7000,12.7800,7869319,sh.600054 | 黄山旅游 | baostock | adjustflag=3 raw
2026-04-07,12.7600,13.0200,12.5000,12.7700,8619201,sh.600054 | 黄山旅游 | baostock | adjustflag=3 raw
2026-04-08,12.8600,13.3000,12.8600,13.1600,10321357,sh.600054 | 黄山旅游 | baostock | adjustflag=3 raw
2026-04-09,13.0500,13.0600,12.4600,12.5600,16560862,sh.600054 | 黄山旅游 | baostock | adjustflag=3 raw
2026-04-10,12.5300,12.6100,12.2600,12.2900,18882351,sh.600054 | 黄山旅游 | baostock | adjustflag=3 raw
2026-04-13,12.2000,12.2300,12.0700,12.1600,9602351,sh.600054 | 黄山旅游 | baostock | adjustflag=3 raw
2026-04-14,12.1700,12.2300,11.8600,11.9500,16066985,sh.600054 | 黄山旅游 | baostock | adjustflag=3 raw
2026-04-15,11.9800,12.3900,11.9600,12.3600,20936212,sh.600054 | 黄山旅游 | baostock | adjustflag=3 raw
2026-04-16,12.2700,12.6600,12.1900,12.6200,20641448,sh.600054 | 黄山旅游 | baostock | adjustflag=3 raw
2026-04-17,12.6100,12.6300,12.1900,12.2600,14164801,sh.600054 | 黄山旅游 | baostock | adjustflag=3 raw
