time,open,high,low,close,volume,note
2026-01-05,6.1100,6.3800,6.1000,6.3200,251858719,sh.600048 | 保利发展 | baostock | adjustflag=3 raw
2026-01-28,6.6600,6.9000,6.6400,6.8000,358121802,sh.600048 | 保利发展 | baostock | adjustflag=3 raw
2026-01-29,6.7900,7.2000,6.7600,7.1100,438362691,sh.600048 | 保利发展 | baostock | adjustflag=3 raw
2026-01-30,7.0500,7.0800,6.7900,6.8100,321733736,sh.600048 | 保利发展 | baostock | adjustflag=3 raw
2026-02-02,6.7000,6.8700,6.6200,6.6300,222322400,sh.600048 | 保利发展 | baostock | adjustflag=3 raw
2026-02-03,6.7000,6.8100,6.6700,6.8000,167439385,sh.600048 | 保利发展 | baostock | adjustflag=3 raw
2026-02-04,6.7600,7.2200,6.7500,7.1900,397289994,sh.600048 | 保利发展 | baostock | adjustflag=3 raw
2026-02-05,7.1400,7.2500,7.1100,7.1700,190935006,sh.600048 | 保利发展 | baostock | adjustflag=3 raw
2026-02-06,7.1100,7.1500,6.9700,6.9800,190975679,sh.600048 | 保利发展 | baostock | adjustflag=3 raw
2026-02-09,7.0100,7.2900,6.9900,7.0800,233919168,sh.600048 | 保利发展 | baostock | adjustflag=3 raw
2026-02-10,7.0600,7.0800,6.8800,6.8900,184071088,sh.600048 | 保利发展 | baostock | adjustflag=3 raw
2026-02-11,6.8700,6.9200,6.8200,6.8800,97494623,sh.600048 | 保利发展 | baostock | adjustflag=3 raw
2026-02-12,6.8900,6.9700,6.8100,6.8100,106589667,sh.600048 | 保利发展 | baostock | adjustflag=3 raw
2026-02-13,6.8300,6.8500,6.7100,6.7400,114321623,sh.600048 | 保利发展 | baostock | adjustflag=3 raw
2026-02-24,6.7500,6.8200,6.7100,6.7900,109356222,sh.600048 | 保利发展 | baostock | adjustflag=3 raw
2026-02-25,6.8000,7.1100,6.8000,6.9600,247466030,sh.600048 | 保利发展 | baostock | adjustflag=3 raw
2026-02-26,6.9300,6.9500,6.7400,6.7700,184826675,sh.600048 | 保利发展 | baostock | adjustflag=3 raw
2026-02-27,6.7700,6.8200,6.7400,6.8000,87067521,sh.600048 | 保利发展 | baostock | adjustflag=3 raw
2026-03-02,6.7200,6.9000,6.7000,6.7900,151949718,sh.600048 | 保利发展 | baostock | adjustflag=3 raw
2026-03-03,6.7800,6.8400,6.6700,6.6800,144782030,sh.600048 | 保利发展 | baostock | adjustflag=3 raw
2026-03-04,6.6600,6.7000,6.5200,6.5900,169397856,sh.600048 | 保利发展 | baostock | adjustflag=3 raw
2026-03-05,6.6500,6.6800,6.5400,6.5700,106723059,sh.600048 | 保利发展 | baostock | adjustflag=3 raw
2026-03-06,6.5500,6.5800,6.4100,6.5300,154413258,sh.600048 | 保利发展 | baostock | adjustflag=3 raw
2026-03-09,6.4200,6.4400,6.2800,6.3500,174962443,sh.600048 | 保利发展 | baostock | adjustflag=3 raw
2026-03-10,6.3800,6.4000,6.3100,6.3500,99120331,sh.600048 | 保利发展 | baostock | adjustflag=3 raw
2026-03-11,6.3400,6.4300,6.3200,6.3900,95373043,sh.600048 | 保利发展 | baostock | adjustflag=3 raw
2026-03-12,6.3800,6.4500,6.3500,6.3900,109730924,sh.600048 | 保利发展 | baostock | adjustflag=3 raw
