time,open,high,low,close,volume,note
2018-01-02,21.4600,22.1000,21.2000,21.9900,32192180,sh.600584 | 长电科技 | baostock | adjustflag=3 raw
2022-09-16,24.2300,24.3800,23.5400,23.5800,18521791,sh.600584 | 长电科技 | baostock | adjustflag=3 raw
2022-09-19,23.4000,23.6900,22.8200,22.8600,18532444,sh.600584 | 长电科技 | baostock | adjustflag=3 raw
2022-09-20,23.0300,23.1500,22.6800,22.9800,14872754,sh.600584 | 长电科技 | baostock | adjustflag=3 raw
2022-09-21,22.8000,23.0600,22.4100,22.9200,12546184,sh.600584 | 长电科技 | baostock | adjustflag=3 raw
2022-09-22,22.8000,23.1600,22.7100,22.9400,11153627,sh.600584 | 长电科技 | baostock | adjustflag=3 raw
2022-09-23,22.9100,23.0200,22.2400,22.3400,14614124,sh.600584 | 长电科技 | baostock | adjustflag=3 raw
2022-09-26,22.1700,22.3500,21.8800,21.9600,12096833,sh.600584 | 长电科技 | baostock | adjustflag=3 raw
2022-09-27,22.0000,22.4100,21.9300,22.4000,13730531,sh.600584 | 长电科技 | baostock | adjustflag=3 raw
2022-09-28,22.3000,22.3000,21.7000,21.7000,12393396,sh.600584 | 长电科技 | baostock | adjustflag=3 raw
2022-09-29,21.9000,22.0800,21.5500,21.6400,10887173,sh.600584 | 长电科技 | baostock | adjustflag=3 raw
2022-09-30,21.5600,21.8500,21.4200,21.4300,9807752,sh.600584 | 长电科技 | baostock | adjustflag=3 raw
2022-10-10,21.4300,21.4300,20.5200,20.5400,17979157,sh.600584 | 长电科技 | baostock | adjustflag=3 raw
2022-10-11,20.6300,20.7300,20.4100,20.6400,9561267,sh.600584 | 长电科技 | baostock | adjustflag=3 raw
2022-10-12,20.5600,21.3400,20.5200,21.3200,19123245,sh.600584 | 长电科技 | baostock | adjustflag=3 raw
2022-10-13,21.1000,21.5600,21.0100,21.3100,14335622,sh.600584 | 长电科技 | baostock | adjustflag=3 raw
2022-10-14,21.5100,21.8300,21.4000,21.7900,18018435,sh.600584 | 长电科技 | baostock | adjustflag=3 raw
2022-10-17,21.8400,22.1800,21.6900,22.1100,17078375,sh.600584 | 长电科技 | baostock | adjustflag=3 raw
2022-10-18,22.1900,22.2200,21.7500,21.8100,13914900,sh.600584 | 长电科技 | baostock | adjustflag=3 raw
2022-10-19,21.8200,22.0100,21.5600,21.5600,11619148,sh.600584 | 长电科技 | baostock | adjustflag=3 raw
2022-10-20,21.5000,22.7700,21.4300,22.5800,41310420,sh.600584 | 长电科技 | baostock | adjustflag=3 raw
2022-10-21,22.4000,22.5600,22.0400,22.2600,21964907,sh.600584 | 长电科技 | baostock | adjustflag=3 raw
2022-10-24,22.2600,22.7400,21.8000,21.9500,21792897,sh.600584 | 长电科技 | baostock | adjustflag=3 raw
2022-10-25,21.8100,22.1000,21.4000,21.6300,15618867,sh.600584 | 长电科技 | baostock | adjustflag=3 raw
2022-10-26,21.6800,22.4900,21.5500,22.2600,24846878,sh.600584 | 长电科技 | baostock | adjustflag=3 raw
2022-10-27,22.2200,23.9600,22.2200,23.3600,51845277,sh.600584 | 长电科技 | baostock | adjustflag=3 raw
2022-10-28,23.1800,24.4200,23.0100,23.6300,62483189,sh.600584 | 长电科技 | baostock | adjustflag=3 raw
2022-10-31,23.6000,24.2400,23.4400,24.0800,41232095,sh.600584 | 长电科技 | baostock | adjustflag=3 raw
2022-11-01,23.8000,24.0300,23.5400,23.9700,35932470,sh.600584 | 长电科技 | baostock | adjustflag=3 raw
2022-11-02,24.0500,24.5800,23.6800,23.6900,46303917,sh.600584 | 长电科技 | baostock | adjustflag=3 raw
2022-11-03,23.4100,24.0900,23.3200,23.9500,38629434,sh.600584 | 长电科技 | baostock | adjustflag=3 raw
2022-11-04,23.8500,24.1300,23.5900,24.0300,34738829,sh.600584 | 长电科技 | baostock | adjustflag=3 raw
2022-11-07,24.0200,24.4400,23.9200,24.1900,31353132,sh.600584 | 长电科技 | baostock | adjustflag=3 raw
2022-11-08,24.1800,24.2500,23.7800,23.9400,17429769,sh.600584 | 长电科技 | baostock | adjustflag=3 raw
2022-11-09,23.8900,23.9500,23.6400,23.7800,16683631,sh.600584 | 长电科技 | baostock | adjustflag=3 raw
2022-11-10,23.5700,23.9200,23.1900,23.2200,24653442,sh.600584 | 长电科技 | baostock | adjustflag=3 raw
2022-11-11,24.0000,24.1100,23.6000,23.6000,31410644,sh.600584 | 长电科技 | baostock | adjustflag=3 raw
2022-11-14,23.6200,24.0900,23.5000,23.8200,20950240,sh.600584 | 长电科技 | baostock | adjustflag=3 raw
2022-11-15,23.8000,26.0800,23.7100,25.7400,91267986,sh.600584 | 长电科技 | baostock | adjustflag=3 raw
2022-11-16,25.9500,25.9500,25.1800,25.2300,43471144,sh.600584 | 长电科技 | baostock | adjustflag=3 raw
2022-11-17,25.1000,25.6800,24.9400,25.6300,38077378,sh.600584 | 长电科技 | baostock | adjustflag=3 raw
2022-11-18,25.9500,25.9800,25.2600,25.3300,33983404,sh.600584 | 长电科技 | baostock | adjustflag=3 raw
2022-11-21,25.2800,25.5000,24.9400,25.0800,19564088,sh.600584 | 长电科技 | baostock | adjustflag=3 raw
