time,open,high,low,close,volume,note
2026-01-05,7.3100,7.3900,7.2800,7.3800,19015717,sh.600037 | 歌华有线 | baostock | adjustflag=3 raw
2026-01-28,8.0300,8.1000,7.9700,8.0000,16704250,sh.600037 | 歌华有线 | baostock | adjustflag=3 raw
2026-01-29,7.9800,8.3300,7.9100,8.1800,37718120,sh.600037 | 歌华有线 | baostock | adjustflag=3 raw
2026-01-30,8.1700,8.2500,8.0900,8.1800,23871750,sh.600037 | 歌华有线 | baostock | adjustflag=3 raw
2026-02-02,8.1800,8.3000,7.9800,7.9900,26541666,sh.600037 | 歌华有线 | baostock | adjustflag=3 raw
2026-02-03,8.0500,8.2500,8.0400,8.2300,22386440,sh.600037 | 歌华有线 | baostock | adjustflag=3 raw
2026-02-04,8.1900,8.1900,7.9800,8.0800,23100200,sh.600037 | 歌华有线 | baostock | adjustflag=3 raw
2026-02-05,8.0100,8.1600,8.0100,8.0500,16385300,sh.600037 | 歌华有线 | baostock | adjustflag=3 raw
2026-02-06,8.0100,8.0800,7.8800,7.9300,18641200,sh.600037 | 歌华有线 | baostock | adjustflag=3 raw
2026-02-09,8.0500,8.2500,8.0500,8.2500,24507135,sh.600037 | 歌华有线 | baostock | adjustflag=3 raw
2026-02-10,8.2700,8.6200,8.2400,8.5400,51122890,sh.600037 | 歌华有线 | baostock | adjustflag=3 raw
2026-02-11,8.5000,8.5000,8.2500,8.3100,30401900,sh.600037 | 歌华有线 | baostock | adjustflag=3 raw
2026-02-12,8.3400,8.3500,8.0600,8.1400,23400424,sh.600037 | 歌华有线 | baostock | adjustflag=3 raw
2026-02-13,8.1100,8.1900,8.0000,8.0100,17817910,sh.600037 | 歌华有线 | baostock | adjustflag=3 raw
2026-02-24,8.0800,8.0800,7.9100,7.9900,18415004,sh.600037 | 歌华有线 | baostock | adjustflag=3 raw
2026-02-25,7.9900,8.0700,7.9400,8.0000,16419800,sh.600037 | 歌华有线 | baostock | adjustflag=3 raw
2026-02-26,8.0100,8.2800,7.9500,8.1500,29752223,sh.600037 | 歌华有线 | baostock | adjustflag=3 raw
2026-02-27,8.1100,8.1400,8.0200,8.0800,21441672,sh.600037 | 歌华有线 | baostock | adjustflag=3 raw
2026-03-02,7.9600,7.9900,7.8100,7.8700,25050202,sh.600037 | 歌华有线 | baostock | adjustflag=3 raw
2026-03-03,7.8600,7.9000,7.5700,7.5900,26501591,sh.600037 | 歌华有线 | baostock | adjustflag=3 raw
2026-03-04,7.5600,7.6200,7.4300,7.4900,18492065,sh.600037 | 歌华有线 | baostock | adjustflag=3 raw
2026-03-05,7.5900,7.6100,7.5000,7.5500,15664299,sh.600037 | 歌华有线 | baostock | adjustflag=3 raw
2026-03-06,7.5300,7.6700,7.5100,7.6600,14646200,sh.600037 | 歌华有线 | baostock | adjustflag=3 raw
2026-03-09,7.5800,7.8100,7.5000,7.7800,21163696,sh.600037 | 歌华有线 | baostock | adjustflag=3 raw
2026-03-10,7.8200,8.0400,7.8000,7.9300,23961144,sh.600037 | 歌华有线 | baostock | adjustflag=3 raw
2026-03-11,7.9200,8.0000,7.8800,7.9700,15978155,sh.600037 | 歌华有线 | baostock | adjustflag=3 raw
2026-03-12,7.9200,8.1000,7.8800,8.0100,17954865,sh.600037 | 歌华有线 | baostock | adjustflag=3 raw
2026-03-13,8.0100,8.0100,7.8300,7.8400,14386401,sh.600037 | 歌华有线 | baostock | adjustflag=3 raw
2026-03-16,7.8400,7.9100,7.8100,7.8600,13412509,sh.600037 | 歌华有线 | baostock | adjustflag=3 raw
2026-03-17,7.8800,7.9100,7.7200,7.7200,13868000,sh.600037 | 歌华有线 | baostock | adjustflag=3 raw
