time,open,high,low,close,volume,note
2026-01-05,4.9400,4.9600,4.9200,4.9600,53501627,sh.600023 | 浙能电力 | baostock | adjustflag=3 raw
2026-04-09,5.4600,5.4900,5.4300,5.4500,49691894,sh.600023 | 浙能电力 | baostock | adjustflag=3 raw
2026-04-10,5.4800,5.5200,5.4400,5.4700,50050764,sh.600023 | 浙能电力 | baostock | adjustflag=3 raw
2026-04-13,5.4500,5.4800,5.4100,5.4800,58174400,sh.600023 | 浙能电力 | baostock | adjustflag=3 raw
2026-04-14,5.4800,5.5500,5.4700,5.5200,53554980,sh.600023 | 浙能电力 | baostock | adjustflag=3 raw
2026-04-15,5.5400,5.5700,5.4400,5.5400,60832214,sh.600023 | 浙能电力 | baostock | adjustflag=3 raw
2026-04-16,5.5300,5.5600,5.5000,5.5400,40347600,sh.600023 | 浙能电力 | baostock | adjustflag=3 raw
2026-04-17,5.5300,5.5600,5.4800,5.5100,37069440,sh.600023 | 浙能电力 | baostock | adjustflag=3 raw
2026-04-20,5.5000,5.6200,5.4800,5.6100,69376498,sh.600023 | 浙能电力 | baostock | adjustflag=3 raw
2026-04-21,5.6400,5.8000,5.6300,5.7200,77301605,sh.600023 | 浙能电力 | baostock | adjustflag=3 raw
2026-04-22,5.7200,5.8000,5.7000,5.7600,68790541,sh.600023 | 浙能电力 | baostock | adjustflag=3 raw
2026-04-23,5.7500,5.8300,5.6800,5.8000,74876939,sh.600023 | 浙能电力 | baostock | adjustflag=3 raw
2026-04-24,5.7900,5.8700,5.7500,5.8000,63640205,sh.600023 | 浙能电力 | baostock | adjustflag=3 raw
2026-04-27,5.7700,5.8600,5.7000,5.7800,72265175,sh.600023 | 浙能电力 | baostock | adjustflag=3 raw
2026-04-28,5.6600,5.9100,5.6000,5.8900,138982395,sh.600023 | 浙能电力 | baostock | adjustflag=3 raw
2026-04-29,5.8400,5.8400,5.6700,5.7200,101205252,sh.600023 | 浙能电力 | baostock | adjustflag=3 raw
2026-04-30,5.6900,5.7500,5.6200,5.7000,58360406,sh.600023 | 浙能电力 | baostock | adjustflag=3 raw
2026-05-06,5.7000,5.7800,5.6700,5.7600,83691986,sh.600023 | 浙能电力 | baostock | adjustflag=3 raw
2026-05-07,5.7800,5.8900,5.7500,5.8400,72104241,sh.600023 | 浙能电力 | baostock | adjustflag=3 raw
2026-05-08,5.8300,5.9800,5.8000,5.8600,63539285,sh.600023 | 浙能电力 | baostock | adjustflag=3 raw
2026-05-11,5.9000,5.9700,5.8100,5.9200,57786961,sh.600023 | 浙能电力 | baostock | adjustflag=3 raw
2026-05-12,5.9200,6.0300,5.9000,5.9700,65401347,sh.600023 | 浙能电力 | baostock | adjustflag=3 raw
2026-05-13,5.9900,6.1100,5.9600,6.0000,96294720,sh.600023 | 浙能电力 | baostock | adjustflag=3 raw
2026-05-14,6.0100,6.1800,5.9700,6.0300,101218877,sh.600023 | 浙能电力 | baostock | adjustflag=3 raw
2026-05-15,6.0000,6.1100,5.9200,6.0700,95363379,sh.600023 | 浙能电力 | baostock | adjustflag=3 raw
2026-05-18,6.0800,6.2000,6.0400,6.1500,102933453,sh.600023 | 浙能电力 | baostock | adjustflag=3 raw
2026-05-19,6.1500,6.7700,6.1000,6.7000,270652601,sh.600023 | 浙能电力 | baostock | adjustflag=3 raw
2026-05-20,6.4700,6.5200,6.0300,6.0300,218295697,sh.600023 | 浙能电力 | baostock | adjustflag=3 raw
2026-05-21,5.9000,5.9500,5.7100,5.7100,162302256,sh.600023 | 浙能电力 | baostock | adjustflag=3 raw
2026-05-22,5.6900,5.8100,5.6400,5.7500,91279789,sh.600023 | 浙能电力 | baostock | adjustflag=3 raw
2026-05-25,5.7200,5.9500,5.6600,5.9100,101532156,sh.600023 | 浙能电力 | baostock | adjustflag=3 raw
2026-05-26,5.8900,6.1500,5.8500,6.0800,105092864,sh.600023 | 浙能电力 | baostock | adjustflag=3 raw
2026-05-27,6.0300,6.1100,5.9600,6.0000,90752441,sh.600023 | 浙能电力 | baostock | adjustflag=3 raw
2026-05-28,6.0000,6.2000,5.9500,6.1000,116405423,sh.600023 | 浙能电力 | baostock | adjustflag=3 raw
2026-05-29,6.1000,6.6000,6.0600,6.4700,205421621,sh.600023 | 浙能电力 | baostock | adjustflag=3 raw
2026-06-01,6.5500,6.7300,6.2800,6.7000,180562412,sh.600023 | 浙能电力 | baostock | adjustflag=3 raw
2026-06-02,6.6000,6.6000,6.3700,6.3900,123316536,sh.600023 | 浙能电力 | baostock | adjustflag=3 raw
2026-06-03,6.3200,6.4400,6.2200,6.4200,115845010,sh.600023 | 浙能电力 | baostock | adjustflag=3 raw
2026-06-04,6.3300,6.4200,6.2100,6.2400,80150974,sh.600023 | 浙能电力 | baostock | adjustflag=3 raw
2026-06-05,6.2200,6.3400,5.9700,5.9900,96207308,sh.600023 | 浙能电力 | baostock | adjustflag=3 raw
2026-06-08,5.8300,6.0200,5.8100,5.9500,59126105,sh.600023 | 浙能电力 | baostock | adjustflag=3 raw
2026-06-09,5.9700,5.9900,5.8400,5.9800,51237946,sh.600023 | 浙能电力 | baostock | adjustflag=3 raw
2026-06-10,5.9300,6.0300,5.8600,5.9700,57499609,sh.600023 | 浙能电力 | baostock | adjustflag=3 raw
2026-06-11,5.9200,6.3500,5.9100,6.3000,99067594,sh.600023 | 浙能电力 | baostock | adjustflag=3 raw
2026-06-12,6.2300,6.3400,6.1000,6.2600,103612939,sh.600023 | 浙能电力 | baostock | adjustflag=3 raw
2026-06-15,6.2600,6.2900,6.1000,6.1600,70014657,sh.600023 | 浙能电力 | baostock | adjustflag=3 raw
2026-06-16,6.1200,6.2100,6.0500,6.1400,67278832,sh.600023 | 浙能电力 | baostock | adjustflag=3 raw
2026-06-17,6.1400,6.1900,6.0200,6.0400,61511113,sh.600023 | 浙能电力 | baostock | adjustflag=3 raw
2026-06-18,6.0200,6.0800,5.7500,5.7600,86209432,sh.600023 | 浙能电力 | baostock | adjustflag=3 raw
2026-06-22,5.7200,5.7300,5.5800,5.7200,67122971,sh.600023 | 浙能电力 | baostock | adjustflag=3 raw
2026-06-23,5.6700,5.7800,5.5200,5.5300,66680808,sh.600023 | 浙能电力 | baostock | adjustflag=3 raw
2026-06-24,5.5000,5.5300,5.3800,5.4000,48868175,sh.600023 | 浙能电力 | baostock | adjustflag=3 raw
2026-06-25,5.3600,5.4200,5.2800,5.3000,50497755,sh.600023 | 浙能电力 | baostock | adjustflag=3 raw
2026-06-26,5.3000,5.3500,5.2000,5.2400,46277539,sh.600023 | 浙能电力 | baostock | adjustflag=3 raw
2026-06-29,5.2300,5.3000,5.1400,5.2800,46287488,sh.600023 | 浙能电力 | baostock | adjustflag=3 raw
2026-06-30,5.2300,5.2900,5.1800,5.2600,41507350,sh.600023 | 浙能电力 | baostock | adjustflag=3 raw
2026-07-01,5.2500,5.3700,5.2200,5.3600,45567146,sh.600023 | 浙能电力 | baostock | adjustflag=3 raw
2026-07-02,5.3600,5.5000,5.2900,5.4600,56784330,sh.600023 | 浙能电力 | baostock | adjustflag=3 raw
2026-07-03,5.4700,5.4900,5.3700,5.4700,49241560,sh.600023 | 浙能电力 | baostock | adjustflag=3 raw
2026-07-06,5.4000,5.4500,5.3500,5.4100,34628281,sh.600023 | 浙能电力 | baostock | adjustflag=3 raw
2026-07-07,5.4000,5.4000,5.2900,5.3100,28709967,sh.600023 | 浙能电力 | baostock | adjustflag=3 raw
2026-07-08,5.2800,5.4000,5.2700,5.3600,31909037,sh.600023 | 浙能电力 | baostock | adjustflag=3 raw
2026-07-09,5.3300,5.3700,5.2600,5.3100,30562322,sh.600023 | 浙能电力 | baostock | adjustflag=3 raw
