time,open,high,low,close,volume,note
2026-01-05,9.2500,9.3300,9.2500,9.3000,8356104,sh.600059 | 古越龙山 | baostock | adjustflag=3 raw
2026-02-10,10.1900,10.3000,10.0800,10.2000,17398260,sh.600059 | 古越龙山 | baostock | adjustflag=3 raw
2026-02-11,10.1900,10.4400,10.1900,10.2400,19408117,sh.600059 | 古越龙山 | baostock | adjustflag=3 raw
2026-02-12,10.2600,10.4000,10.1300,10.1400,14559608,sh.600059 | 古越龙山 | baostock | adjustflag=3 raw
2026-02-13,10.1400,10.2500,10.0100,10.0100,14365952,sh.600059 | 古越龙山 | baostock | adjustflag=3 raw
2026-02-24,10.1600,10.3000,10.0300,10.0700,15352922,sh.600059 | 古越龙山 | baostock | adjustflag=3 raw
2026-02-25,10.0700,10.2500,10.0500,10.1000,17705134,sh.600059 | 古越龙山 | baostock | adjustflag=3 raw
2026-02-26,10.0800,10.1200,9.8700,9.9400,17778000,sh.600059 | 古越龙山 | baostock | adjustflag=3 raw
2026-02-27,9.9300,9.9800,9.8800,9.9200,8426908,sh.600059 | 古越龙山 | baostock | adjustflag=3 raw
2026-03-02,9.8200,9.8300,9.5300,9.6500,18785343,sh.600059 | 古越龙山 | baostock | adjustflag=3 raw
2026-03-03,9.6200,9.6900,9.4200,9.4600,15966637,sh.600059 | 古越龙山 | baostock | adjustflag=3 raw
2026-03-04,9.4100,9.4600,9.3000,9.3200,10845700,sh.600059 | 古越龙山 | baostock | adjustflag=3 raw
2026-03-05,9.3900,9.4300,9.2900,9.3600,9992898,sh.600059 | 古越龙山 | baostock | adjustflag=3 raw
2026-03-06,9.3900,9.4800,9.3500,9.4700,8498901,sh.600059 | 古越龙山 | baostock | adjustflag=3 raw
2026-03-09,9.3900,9.4400,9.2300,9.3400,12463800,sh.600059 | 古越龙山 | baostock | adjustflag=3 raw
2026-03-10,9.3800,9.4600,9.3500,9.4300,9224500,sh.600059 | 古越龙山 | baostock | adjustflag=3 raw
2026-03-11,9.4500,9.4500,9.3200,9.4200,9390593,sh.600059 | 古越龙山 | baostock | adjustflag=3 raw
2026-03-12,9.3900,9.4700,9.3500,9.3700,8115800,sh.600059 | 古越龙山 | baostock | adjustflag=3 raw
2026-03-13,9.3900,9.4700,9.3400,9.3800,8362499,sh.600059 | 古越龙山 | baostock | adjustflag=3 raw
2026-03-16,9.3600,9.4700,9.3500,9.4500,8474700,sh.600059 | 古越龙山 | baostock | adjustflag=3 raw
2026-03-17,9.4200,9.5700,9.4100,9.4500,10398301,sh.600059 | 古越龙山 | baostock | adjustflag=3 raw
2026-03-18,9.4600,9.4800,9.3000,9.3300,9922190,sh.600059 | 古越龙山 | baostock | adjustflag=3 raw
2026-03-19,9.2700,9.3100,9.1000,9.1000,10227309,sh.600059 | 古越龙山 | baostock | adjustflag=3 raw
2026-03-20,9.1000,9.1600,8.9900,9.0000,8324701,sh.600059 | 古越龙山 | baostock | adjustflag=3 raw
2026-03-23,8.9300,8.9300,8.5800,8.6400,16631801,sh.600059 | 古越龙山 | baostock | adjustflag=3 raw
2026-03-24,8.7300,8.7700,8.6100,8.7400,7820023,sh.600059 | 古越龙山 | baostock | adjustflag=3 raw
2026-03-25,8.7500,8.8500,8.7400,8.8300,6513600,sh.600059 | 古越龙山 | baostock | adjustflag=3 raw
2026-03-26,8.8200,8.8900,8.7500,8.7800,6089100,sh.600059 | 古越龙山 | baostock | adjustflag=3 raw
2026-03-27,8.7500,8.9000,8.7200,8.8500,5463300,sh.600059 | 古越龙山 | baostock | adjustflag=3 raw
2026-03-30,8.7800,8.9400,8.7500,8.9000,5402137,sh.600059 | 古越龙山 | baostock | adjustflag=3 raw
2026-03-31,8.9900,9.0700,8.8600,8.8800,6504083,sh.600059 | 古越龙山 | baostock | adjustflag=3 raw
2026-04-01,8.9300,9.1800,8.9200,9.1000,11801183,sh.600059 | 古越龙山 | baostock | adjustflag=3 raw
2026-04-02,9.0700,9.0800,8.9800,9.0100,6318251,sh.600059 | 古越龙山 | baostock | adjustflag=3 raw
2026-04-03,9.0000,9.0200,8.8000,8.8200,6821500,sh.600059 | 古越龙山 | baostock | adjustflag=3 raw
2026-04-07,8.8800,8.9000,8.8000,8.8500,4519858,sh.600059 | 古越龙山 | baostock | adjustflag=3 raw
2026-04-08,8.9200,9.0200,8.9200,8.9900,7500078,sh.600059 | 古越龙山 | baostock | adjustflag=3 raw
