time,open,high,low,close,volume,note
2026-01-05,28.8300,29.3600,28.8000,29.3300,185177013,sh.600030 | 中信证券 | baostock | adjustflag=3 raw
2026-01-28,27.8900,28.1800,27.7700,27.9400,171879381,sh.600030 | 中信证券 | baostock | adjustflag=3 raw
2026-01-29,27.9000,28.5800,27.7000,28.5600,297781177,sh.600030 | 中信证券 | baostock | adjustflag=3 raw
2026-01-30,28.5000,28.5200,28.0800,28.0800,190709529,sh.600030 | 中信证券 | baostock | adjustflag=3 raw
2026-02-02,28.0900,28.6000,27.8300,27.8600,181833606,sh.600030 | 中信证券 | baostock | adjustflag=3 raw
2026-02-03,28.0700,28.1000,27.7100,27.9700,132291749,sh.600030 | 中信证券 | baostock | adjustflag=3 raw
2026-02-04,27.8500,28.3900,27.8400,28.3800,157219253,sh.600030 | 中信证券 | baostock | adjustflag=3 raw
2026-02-05,28.2900,28.4900,28.1300,28.2900,115684169,sh.600030 | 中信证券 | baostock | adjustflag=3 raw
2026-02-06,28.2000,28.3600,28.1000,28.1600,107402653,sh.600030 | 中信证券 | baostock | adjustflag=3 raw
2026-02-09,28.0100,28.1000,27.8800,28.0600,97053435,sh.600030 | 中信证券 | baostock | adjustflag=3 raw
2026-02-10,28.0600,28.1800,27.9800,28.0900,75629809,sh.600030 | 中信证券 | baostock | adjustflag=3 raw
2026-02-11,28.1100,28.1500,27.9500,28.0400,83665980,sh.600030 | 中信证券 | baostock | adjustflag=3 raw
2026-02-12,28.0300,28.0300,27.7700,27.8700,95785415,sh.600030 | 中信证券 | baostock | adjustflag=3 raw
2026-02-13,27.8700,28.0000,27.6200,27.6200,109046516,sh.600030 | 中信证券 | baostock | adjustflag=3 raw
2026-02-24,27.7600,27.8000,27.6100,27.6300,84792805,sh.600030 | 中信证券 | baostock | adjustflag=3 raw
2026-02-25,27.6400,27.8900,27.6100,27.7400,101623021,sh.600030 | 中信证券 | baostock | adjustflag=3 raw
2026-02-26,27.7500,27.7800,27.3300,27.3800,132628852,sh.600030 | 中信证券 | baostock | adjustflag=3 raw
2026-02-27,27.3600,27.4900,27.1800,27.3700,87758758,sh.600030 | 中信证券 | baostock | adjustflag=3 raw
2026-03-02,27.1100,27.2000,26.8600,27.0700,130969370,sh.600030 | 中信证券 | baostock | adjustflag=3 raw
