time,open,high,low,close,volume,note
2026-01-05,3.8900,3.9100,3.8800,3.9100,10020913,sh.600035 | 楚天高速 | baostock | adjustflag=3 raw
2026-04-27,3.7800,3.7900,3.7500,3.7600,5677300,sh.600035 | 楚天高速 | baostock | adjustflag=3 raw
2026-04-28,3.7600,3.7900,3.7500,3.7800,5451700,sh.600035 | 楚天高速 | baostock | adjustflag=3 raw
2026-04-29,3.7700,3.8200,3.7700,3.8200,9641580,sh.600035 | 楚天高速 | baostock | adjustflag=3 raw
2026-04-30,3.8300,3.8600,3.8100,3.8400,16532657,sh.600035 | 楚天高速 | baostock | adjustflag=3 raw
2026-05-06,3.8600,3.8600,3.8200,3.8400,9138671,sh.600035 | 楚天高速 | baostock | adjustflag=3 raw
2026-05-07,3.8500,3.8600,3.8300,3.8500,6849795,sh.600035 | 楚天高速 | baostock | adjustflag=3 raw
2026-05-08,3.8500,3.9000,3.8400,3.8900,10543057,sh.600035 | 楚天高速 | baostock | adjustflag=3 raw
2026-05-11,3.8900,3.9000,3.8500,3.8900,9631816,sh.600035 | 楚天高速 | baostock | adjustflag=3 raw
2026-05-12,3.8900,3.9000,3.8500,3.8600,7888001,sh.600035 | 楚天高速 | baostock | adjustflag=3 raw
2026-05-13,3.8600,3.8700,3.8400,3.8600,6281478,sh.600035 | 楚天高速 | baostock | adjustflag=3 raw
2026-05-14,3.8600,3.8800,3.8300,3.8300,7309827,sh.600035 | 楚天高速 | baostock | adjustflag=3 raw
2026-05-15,3.8400,3.8500,3.8100,3.8200,10792283,sh.600035 | 楚天高速 | baostock | adjustflag=3 raw
2026-05-18,3.8100,3.8400,3.7900,3.8400,6428768,sh.600035 | 楚天高速 | baostock | adjustflag=3 raw
2026-05-19,3.8400,3.8800,3.8300,3.8700,9947643,sh.600035 | 楚天高速 | baostock | adjustflag=3 raw
2026-05-20,3.8700,3.8800,3.8300,3.8400,8114919,sh.600035 | 楚天高速 | baostock | adjustflag=3 raw
2026-05-21,3.8400,3.8900,3.8200,3.8300,9973800,sh.600035 | 楚天高速 | baostock | adjustflag=3 raw
2026-05-22,3.8300,3.8400,3.8100,3.8200,10389854,sh.600035 | 楚天高速 | baostock | adjustflag=3 raw
2026-05-25,3.8200,3.8500,3.8100,3.8300,6189596,sh.600035 | 楚天高速 | baostock | adjustflag=3 raw
2026-05-26,3.8300,3.8400,3.8000,3.8200,6285450,sh.600035 | 楚天高速 | baostock | adjustflag=3 raw
2026-05-27,3.8100,3.8300,3.7600,3.7800,9729080,sh.600035 | 楚天高速 | baostock | adjustflag=3 raw
2026-05-28,3.7700,3.8000,3.7600,3.7700,7891897,sh.600035 | 楚天高速 | baostock | adjustflag=3 raw
2026-05-29,3.7600,3.8600,3.7600,3.8500,14465737,sh.600035 | 楚天高速 | baostock | adjustflag=3 raw
2026-06-01,3.8400,3.9400,3.8100,3.9300,18988929,sh.600035 | 楚天高速 | baostock | adjustflag=3 raw
