time,open,high,low,close,volume,note
2026-01-05,11.8800,12.0700,11.5900,11.6900,65173372,sh.600026 | 中远海能 | baostock | adjustflag=3 raw
2026-03-02,22.6400,22.6400,20.8200,22.6400,218533817,sh.600026 | 中远海能 | baostock | adjustflag=3 raw
2026-03-03,24.4500,24.9000,23.5000,24.9000,133193468,sh.600026 | 中远海能 | baostock | adjustflag=3 raw
2026-03-04,24.9900,24.9900,22.4100,23.7900,252802204,sh.600026 | 中远海能 | baostock | adjustflag=3 raw
2026-03-05,23.0700,26.0400,22.4100,24.9800,221033448,sh.600026 | 中远海能 | baostock | adjustflag=3 raw
2026-03-06,24.4900,26.1800,24.0100,25.2400,192767550,sh.600026 | 中远海能 | baostock | adjustflag=3 raw
2026-03-09,26.1200,26.6500,22.7200,22.7200,208014025,sh.600026 | 中远海能 | baostock | adjustflag=3 raw
2026-03-10,21.6000,24.9900,21.6000,23.2600,197066406,sh.600026 | 中远海能 | baostock | adjustflag=3 raw
2026-03-11,23.1700,23.2000,21.9500,22.7600,139385702,sh.600026 | 中远海能 | baostock | adjustflag=3 raw
2026-03-12,22.5600,22.8900,21.6800,22.4700,118941222,sh.600026 | 中远海能 | baostock | adjustflag=3 raw
2026-03-13,22.5600,22.9400,21.8200,22.1100,85828696,sh.600026 | 中远海能 | baostock | adjustflag=3 raw
2026-03-16,21.9800,24.0800,21.8000,23.7700,128074152,sh.600026 | 中远海能 | baostock | adjustflag=3 raw
2026-03-17,23.9700,24.4900,23.1000,23.2200,104197452,sh.600026 | 中远海能 | baostock | adjustflag=3 raw
2026-03-18,23.1100,25.5400,22.6700,24.8800,141391590,sh.600026 | 中远海能 | baostock | adjustflag=3 raw
2026-03-19,24.9700,25.2800,23.2200,23.7300,122147247,sh.600026 | 中远海能 | baostock | adjustflag=3 raw
2026-03-20,23.8800,24.6600,22.8800,23.4600,95483297,sh.600026 | 中远海能 | baostock | adjustflag=3 raw
2026-03-23,23.4900,24.6400,23.3200,23.5200,105716033,sh.600026 | 中远海能 | baostock | adjustflag=3 raw
2026-03-24,23.9000,25.8700,23.3200,25.8700,145817964,sh.600026 | 中远海能 | baostock | adjustflag=3 raw
2026-03-25,26.7000,27.1700,24.6800,25.3300,144301253,sh.600026 | 中远海能 | baostock | adjustflag=3 raw
2026-03-26,25.3300,25.3300,23.6600,23.9000,114811616,sh.600026 | 中远海能 | baostock | adjustflag=3 raw
2026-03-27,23.4900,24.2900,22.7000,23.6900,93787881,sh.600026 | 中远海能 | baostock | adjustflag=3 raw
2026-03-30,23.2300,23.7400,22.2000,22.6000,108389023,sh.600026 | 中远海能 | baostock | adjustflag=3 raw
2026-03-31,22.9200,23.0900,21.6600,22.0000,95743341,sh.600026 | 中远海能 | baostock | adjustflag=3 raw
2026-04-01,22.3800,24.1500,22.2000,23.6500,114321924,sh.600026 | 中远海能 | baostock | adjustflag=3 raw
2026-04-02,23.1400,25.8200,23.1400,24.2700,120764082,sh.600026 | 中远海能 | baostock | adjustflag=3 raw
2026-04-03,25.5000,26.0000,24.7900,24.8500,92666591,sh.600026 | 中远海能 | baostock | adjustflag=3 raw
2026-04-07,25.7600,26.4500,25.0200,25.9500,87794017,sh.600026 | 中远海能 | baostock | adjustflag=3 raw
2026-04-08,25.5000,27.0000,24.3300,26.0700,131724810,sh.600026 | 中远海能 | baostock | adjustflag=3 raw
2026-04-09,26.5300,26.8100,24.9600,25.5600,75604041,sh.600026 | 中远海能 | baostock | adjustflag=3 raw
2026-04-10,25.6600,25.7600,23.8000,24.1100,102702864,sh.600026 | 中远海能 | baostock | adjustflag=3 raw
2026-04-13,24.0700,24.0800,22.7000,22.9300,83695492,sh.600026 | 中远海能 | baostock | adjustflag=3 raw
2026-04-14,22.8700,23.1900,22.3000,22.7500,86360639,sh.600026 | 中远海能 | baostock | adjustflag=3 raw
2026-04-15,22.5000,23.0200,22.3500,22.4200,66786774,sh.600026 | 中远海能 | baostock | adjustflag=3 raw
2026-04-16,22.4500,22.6500,21.8900,21.9900,64366202,sh.600026 | 中远海能 | baostock | adjustflag=3 raw
2026-04-17,21.8800,22.0200,21.2000,21.9500,86552346,sh.600026 | 中远海能 | baostock | adjustflag=3 raw
2026-04-20,22.1300,22.5300,21.6600,22.2800,59103114,sh.600026 | 中远海能 | baostock | adjustflag=3 raw
2026-04-21,22.2000,22.7800,22.0600,22.3900,61263744,sh.600026 | 中远海能 | baostock | adjustflag=3 raw
2026-04-22,22.2000,22.4300,21.1400,21.9000,96218026,sh.600026 | 中远海能 | baostock | adjustflag=3 raw
2026-04-23,21.5500,21.6800,21.1500,21.4500,61825567,sh.600026 | 中远海能 | baostock | adjustflag=3 raw
2026-04-24,21.3500,21.5700,21.0700,21.2600,46727023,sh.600026 | 中远海能 | baostock | adjustflag=3 raw
2026-04-27,21.5700,21.8400,21.0500,21.5000,50097749,sh.600026 | 中远海能 | baostock | adjustflag=3 raw
2026-04-28,21.6600,21.7000,20.6000,21.0500,72797210,sh.600026 | 中远海能 | baostock | adjustflag=3 raw
2026-04-29,21.3000,21.8000,21.2000,21.7400,67707579,sh.600026 | 中远海能 | baostock | adjustflag=3 raw
2026-04-30,21.3300,21.7500,20.9000,21.5900,54784392,sh.600026 | 中远海能 | baostock | adjustflag=3 raw
2026-05-06,22.0000,22.4800,21.0100,22.3200,105078972,sh.600026 | 中远海能 | baostock | adjustflag=3 raw
2026-05-07,22.2000,23.6200,22.1100,22.6900,100910566,sh.600026 | 中远海能 | baostock | adjustflag=3 raw
2026-05-08,22.2500,23.6600,22.2500,23.4200,102748603,sh.600026 | 中远海能 | baostock | adjustflag=3 raw
2026-05-11,23.0000,23.0000,21.7400,22.3800,88874630,sh.600026 | 中远海能 | baostock | adjustflag=3 raw
2026-05-12,22.2200,22.9000,22.0500,22.1500,47365287,sh.600026 | 中远海能 | baostock | adjustflag=3 raw
2026-05-13,22.0500,22.8200,22.0500,22.4500,53167769,sh.600026 | 中远海能 | baostock | adjustflag=3 raw
2026-05-14,22.1000,23.4600,21.8100,22.8100,89715267,sh.600026 | 中远海能 | baostock | adjustflag=3 raw
2026-05-15,22.6000,23.0000,21.6200,21.8700,61732477,sh.600026 | 中远海能 | baostock | adjustflag=3 raw
2026-05-18,21.4100,21.7000,20.8200,21.4800,52419554,sh.600026 | 中远海能 | baostock | adjustflag=3 raw
2026-05-19,21.8000,22.2200,21.4600,21.6900,44240758,sh.600026 | 中远海能 | baostock | adjustflag=3 raw
2026-05-20,21.4900,22.8000,21.4900,22.6400,57562449,sh.600026 | 中远海能 | baostock | adjustflag=3 raw
2026-05-21,22.6300,23.8500,22.4700,22.6200,81155842,sh.600026 | 中远海能 | baostock | adjustflag=3 raw
2026-05-22,23.2000,23.2000,22.2600,22.8000,59960796,sh.600026 | 中远海能 | baostock | adjustflag=3 raw
2026-05-25,23.1000,23.9900,21.8300,21.8800,97816342,sh.600026 | 中远海能 | baostock | adjustflag=3 raw
2026-05-26,21.5700,22.0000,20.6200,21.2300,76796554,sh.600026 | 中远海能 | baostock | adjustflag=3 raw
2026-05-27,21.1600,21.3800,20.0000,20.3000,70051895,sh.600026 | 中远海能 | baostock | adjustflag=3 raw
2026-05-28,20.1000,20.2900,19.7400,19.8500,50346523,sh.600026 | 中远海能 | baostock | adjustflag=3 raw
2026-05-29,19.6400,19.9500,19.2500,19.4800,67040563,sh.600026 | 中远海能 | baostock | adjustflag=3 raw
2026-06-01,19.6600,19.6800,18.6800,18.8000,64503992,sh.600026 | 中远海能 | baostock | adjustflag=3 raw
2026-06-02,18.9800,19.0000,18.1500,18.5500,67851191,sh.600026 | 中远海能 | baostock | adjustflag=3 raw
2026-06-03,18.4400,18.5000,17.7500,17.9400,68144125,sh.600026 | 中远海能 | baostock | adjustflag=3 raw
2026-06-04,17.9000,18.2000,17.5900,17.7000,60997476,sh.600026 | 中远海能 | baostock | adjustflag=3 raw
2026-06-05,17.9900,18.0000,17.2900,17.5900,59064973,sh.600026 | 中远海能 | baostock | adjustflag=3 raw
2026-06-08,17.5100,17.7500,16.7200,16.7500,61249952,sh.600026 | 中远海能 | baostock | adjustflag=3 raw
2026-06-09,16.9200,17.0100,16.4300,16.8100,51929995,sh.600026 | 中远海能 | baostock | adjustflag=3 raw
2026-06-10,16.8100,17.4100,16.3700,16.5800,54414254,sh.600026 | 中远海能 | baostock | adjustflag=3 raw
2026-06-11,16.7500,16.8500,15.9900,16.6500,55243161,sh.600026 | 中远海能 | baostock | adjustflag=3 raw
2026-06-12,16.9300,17.8800,16.9300,17.5000,108914449,sh.600026 | 中远海能 | baostock | adjustflag=3 raw
2026-06-15,19.2500,19.2500,19.2500,19.2500,17182883,sh.600026 | 中远海能 | baostock | adjustflag=3 raw
2026-06-16,19.7700,19.9700,17.5000,17.9000,179883134,sh.600026 | 中远海能 | baostock | adjustflag=3 raw
2026-06-17,18.1000,19.6900,18.0000,19.6900,106779361,sh.600026 | 中远海能 | baostock | adjustflag=3 raw
2026-06-18,19.9000,20.1000,18.8800,19.3000,128121352,sh.600026 | 中远海能 | baostock | adjustflag=3 raw
2026-06-22,19.1500,20.6300,18.5500,20.4400,139791923,sh.600026 | 中远海能 | baostock | adjustflag=3 raw
2026-06-23,20.6200,21.5500,20.5200,20.7500,120266428,sh.600026 | 中远海能 | baostock | adjustflag=3 raw
2026-06-24,21.4100,22.8300,21.2200,22.8300,126401684,sh.600026 | 中远海能 | baostock | adjustflag=3 raw
2026-06-25,22.5100,22.7500,21.6000,21.7800,166338079,sh.600026 | 中远海能 | baostock | adjustflag=3 raw
2026-06-26,20.8000,20.9500,19.7300,19.9600,107349140,sh.600026 | 中远海能 | baostock | adjustflag=3 raw
2026-06-29,19.3800,19.6600,18.6100,18.7000,92683728,sh.600026 | 中远海能 | baostock | adjustflag=3 raw
2026-06-30,18.3000,18.8300,17.8600,17.9400,82346594,sh.600026 | 中远海能 | baostock | adjustflag=3 raw
2026-07-01,17.5100,17.7000,16.6000,16.7000,106023689,sh.600026 | 中远海能 | baostock | adjustflag=3 raw
2026-07-02,16.7000,17.3000,16.4200,16.5000,87675498,sh.600026 | 中远海能 | baostock | adjustflag=3 raw
2026-07-03,17.3200,17.8100,17.1000,17.3700,90738559,sh.600026 | 中远海能 | baostock | adjustflag=3 raw
2026-07-06,17.9700,18.2000,17.2400,17.3700,83293567,sh.600026 | 中远海能 | baostock | adjustflag=3 raw
2026-07-07,17.3100,17.5600,16.3400,16.4100,75563448,sh.600026 | 中远海能 | baostock | adjustflag=3 raw
2026-07-08,16.3800,16.6200,15.8200,15.8300,57695348,sh.600026 | 中远海能 | baostock | adjustflag=3 raw
2026-07-09,16.0700,16.2300,15.5700,15.9300,64058138,sh.600026 | 中远海能 | baostock | adjustflag=3 raw
