time,open,high,low,close,volume,note
2026-01-05,4.7100,4.7600,4.6600,4.7500,13342900,sh.600052 | 东望时代 | baostock | adjustflag=3 raw
2026-03-10,4.3100,4.3800,4.3000,4.3600,8526901,sh.600052 | 东望时代 | baostock | adjustflag=3 raw
2026-03-11,4.3800,4.4600,4.3200,4.3500,11798740,sh.600052 | 东望时代 | baostock | adjustflag=3 raw
2026-03-12,4.3500,4.3600,4.2600,4.2800,11038900,sh.600052 | 东望时代 | baostock | adjustflag=3 raw
2026-03-13,4.2800,4.3000,4.2000,4.2100,11531960,sh.600052 | 东望时代 | baostock | adjustflag=3 raw
2026-03-16,4.2200,4.2700,4.2000,4.2500,10068410,sh.600052 | 东望时代 | baostock | adjustflag=3 raw
2026-03-17,4.2700,4.3000,4.1600,4.1700,11144610,sh.600052 | 东望时代 | baostock | adjustflag=3 raw
2026-03-18,4.1600,4.1900,4.1000,4.1700,10043700,sh.600052 | 东望时代 | baostock | adjustflag=3 raw
2026-03-19,4.1400,4.1600,4.0600,4.0600,10231500,sh.600052 | 东望时代 | baostock | adjustflag=3 raw
2026-03-20,4.0600,4.1200,4.0100,4.0200,10304267,sh.600052 | 东望时代 | baostock | adjustflag=3 raw
2026-03-23,4.0000,4.0100,3.7200,3.7600,17743600,sh.600052 | 东望时代 | baostock | adjustflag=3 raw
2026-03-24,3.8200,4.0300,3.8100,4.0200,19278788,sh.600052 | 东望时代 | baostock | adjustflag=3 raw
2026-03-25,4.0200,4.1600,4.0000,4.1400,14428587,sh.600052 | 东望时代 | baostock | adjustflag=3 raw
2026-03-26,4.1200,4.1500,4.0500,4.0900,11609400,sh.600052 | 东望时代 | baostock | adjustflag=3 raw
2026-03-27,4.0500,4.1200,4.0300,4.1000,7851420,sh.600052 | 东望时代 | baostock | adjustflag=3 raw
2026-03-30,4.0600,4.1100,4.0000,4.0400,10358700,sh.600052 | 东望时代 | baostock | adjustflag=3 raw
2026-03-31,4.0600,4.1200,3.9900,4.0000,8580800,sh.600052 | 东望时代 | baostock | adjustflag=3 raw
2026-04-01,4.0600,4.0700,3.9700,4.0100,8591800,sh.600052 | 东望时代 | baostock | adjustflag=3 raw
