time,open,high,low,close,volume,note
2020-09-28,320.0000,366.2000,311.0000,340.1000,17938997,sz.300896 | 爱美客 | baostock | adjustflag=3 raw
2021-07-29,699.0000,699.0000,665.0000,682.3000,2784674,sz.300896 | 爱美客 | baostock | adjustflag=3 raw
2021-07-30,668.0000,678.5000,630.8300,648.8100,3153719,sz.300896 | 爱美客 | baostock | adjustflag=3 raw
2021-08-02,629.0000,655.0000,580.3300,642.3000,4309868,sz.300896 | 爱美客 | baostock | adjustflag=3 raw
2021-08-03,634.1300,666.0000,616.0000,650.8600,3478182,sz.300896 | 爱美客 | baostock | adjustflag=3 raw
2021-08-04,640.0100,663.0000,630.0200,653.6900,2216951,sz.300896 | 爱美客 | baostock | adjustflag=3 raw
2021-08-05,638.8800,654.0500,623.0000,636.0600,2378595,sz.300896 | 爱美客 | baostock | adjustflag=3 raw
2021-08-06,630.0100,650.1200,622.9600,626.0000,1883533,sz.300896 | 爱美客 | baostock | adjustflag=3 raw
2021-08-09,601.0000,639.9000,595.6900,627.6000,2291494,sz.300896 | 爱美客 | baostock | adjustflag=3 raw
2021-08-10,627.4400,674.4700,611.1700,658.9000,3694518,sz.300896 | 爱美客 | baostock | adjustflag=3 raw
2021-08-11,652.0000,683.5000,620.0000,623.0000,3832580,sz.300896 | 爱美客 | baostock | adjustflag=3 raw
2021-08-12,611.0000,629.6600,610.5400,617.0000,1940536,sz.300896 | 爱美客 | baostock | adjustflag=3 raw
2021-08-13,617.0100,633.0000,612.9400,616.9000,1918103,sz.300896 | 爱美客 | baostock | adjustflag=3 raw
2021-08-16,618.0000,642.5100,612.0000,635.2000,2364789,sz.300896 | 爱美客 | baostock | adjustflag=3 raw
2021-08-17,628.0000,638.3000,610.8000,613.0300,2008545,sz.300896 | 爱美客 | baostock | adjustflag=3 raw
2021-08-18,611.9800,620.9400,580.4000,585.5000,3313999,sz.300896 | 爱美客 | baostock | adjustflag=3 raw
2021-08-19,585.0000,613.8600,581.0000,596.9900,2283499,sz.300896 | 爱美客 | baostock | adjustflag=3 raw
2021-08-20,590.1000,590.2000,528.0000,539.9900,5583332,sz.300896 | 爱美客 | baostock | adjustflag=3 raw
2021-08-23,550.0100,563.5900,532.0300,561.9800,3056766,sz.300896 | 爱美客 | baostock | adjustflag=3 raw
2021-08-24,590.0000,593.5100,544.0000,588.0500,3850336,sz.300896 | 爱美客 | baostock | adjustflag=3 raw
2021-08-25,592.0800,608.8000,582.1700,591.7500,2613225,sz.300896 | 爱美客 | baostock | adjustflag=3 raw
2021-08-26,591.6100,591.7400,575.2800,583.4000,1885425,sz.300896 | 爱美客 | baostock | adjustflag=3 raw
