time,open,high,low,close,volume,note
2018-01-02,32.5000,33.0800,32.1700,32.9000,6344324,sz.300496 | 中科创达 | baostock | adjustflag=3 raw
2024-08-02,44.7900,45.2000,43.6500,43.6500,11084616,sz.300496 | 中科创达 | baostock | adjustflag=3 raw
2024-08-05,43.0500,44.1000,41.3600,41.3800,15115000,sz.300496 | 中科创达 | baostock | adjustflag=3 raw
2024-08-06,42.1800,42.3400,41.1800,42.1600,9821898,sz.300496 | 中科创达 | baostock | adjustflag=3 raw
2024-08-07,42.1000,42.5500,41.8000,41.8900,6764534,sz.300496 | 中科创达 | baostock | adjustflag=3 raw
2024-08-08,41.5900,41.6000,40.3700,41.0000,9554001,sz.300496 | 中科创达 | baostock | adjustflag=3 raw
2024-08-09,41.4000,41.6500,40.5600,40.5600,6305065,sz.300496 | 中科创达 | baostock | adjustflag=3 raw
2024-08-12,40.3200,40.4300,38.8500,39.0500,13739061,sz.300496 | 中科创达 | baostock | adjustflag=3 raw
2024-08-13,39.0300,39.5000,38.5800,39.3600,7655795,sz.300496 | 中科创达 | baostock | adjustflag=3 raw
2024-08-14,39.3600,39.6300,38.9100,39.0400,5800066,sz.300496 | 中科创达 | baostock | adjustflag=3 raw
2024-08-15,39.0000,40.6000,38.9100,40.2400,11755494,sz.300496 | 中科创达 | baostock | adjustflag=3 raw
2024-08-16,40.3000,41.5900,40.1800,40.7800,13058901,sz.300496 | 中科创达 | baostock | adjustflag=3 raw
2024-08-19,40.7800,41.2300,39.9800,40.0500,9304633,sz.300496 | 中科创达 | baostock | adjustflag=3 raw
2024-08-20,39.8400,40.0000,38.9100,39.0700,7651200,sz.300496 | 中科创达 | baostock | adjustflag=3 raw
2024-08-21,39.1000,40.0900,38.9100,39.1200,8437539,sz.300496 | 中科创达 | baostock | adjustflag=3 raw
2024-08-22,39.0000,39.6600,38.0400,38.0800,8641012,sz.300496 | 中科创达 | baostock | adjustflag=3 raw
2024-08-23,38.0200,38.8800,38.0200,38.4700,7669016,sz.300496 | 中科创达 | baostock | adjustflag=3 raw
2024-08-26,38.5900,38.6700,37.7500,37.9500,8305981,sz.300496 | 中科创达 | baostock | adjustflag=3 raw
2024-08-27,33.8000,34.2000,32.0600,32.3000,32069457,sz.300496 | 中科创达 | baostock | adjustflag=3 raw
2024-08-28,32.1100,33.0300,31.7400,32.8300,15664389,sz.300496 | 中科创达 | baostock | adjustflag=3 raw
2024-08-29,32.7000,34.0800,32.5000,33.8500,12665160,sz.300496 | 中科创达 | baostock | adjustflag=3 raw
2024-08-30,33.8500,35.7000,33.7500,34.3200,15029770,sz.300496 | 中科创达 | baostock | adjustflag=3 raw
2024-09-02,34.4300,34.7300,33.2400,33.2500,10841611,sz.300496 | 中科创达 | baostock | adjustflag=3 raw
2024-09-03,33.1700,34.5000,33.1700,34.3300,9232697,sz.300496 | 中科创达 | baostock | adjustflag=3 raw
2024-09-04,34.0200,34.6500,33.9000,34.1500,6218330,sz.300496 | 中科创达 | baostock | adjustflag=3 raw
2024-09-05,34.3000,34.8800,34.2600,34.5900,6086052,sz.300496 | 中科创达 | baostock | adjustflag=3 raw
2024-09-06,34.7400,34.8400,33.8100,33.8300,5162978,sz.300496 | 中科创达 | baostock | adjustflag=3 raw
2024-09-09,33.6000,34.0800,33.3900,33.6200,5486366,sz.300496 | 中科创达 | baostock | adjustflag=3 raw
2024-09-10,33.6400,34.6800,33.1900,34.2800,6822705,sz.300496 | 中科创达 | baostock | adjustflag=3 raw
2024-09-11,34.2200,34.4700,33.9300,34.1300,4540547,sz.300496 | 中科创达 | baostock | adjustflag=3 raw
2024-09-12,34.4200,34.6600,33.7400,33.7700,6665974,sz.300496 | 中科创达 | baostock | adjustflag=3 raw
2024-09-13,33.7700,33.9000,33.0800,33.1300,8494529,sz.300496 | 中科创达 | baostock | adjustflag=3 raw
2024-09-18,33.1200,33.2900,32.2600,32.5700,5666303,sz.300496 | 中科创达 | baostock | adjustflag=3 raw
2024-09-19,32.8900,33.5800,32.5600,33.1300,8027896,sz.300496 | 中科创达 | baostock | adjustflag=3 raw
2024-09-20,33.1800,33.4500,32.6100,32.9300,6592859,sz.300496 | 中科创达 | baostock | adjustflag=3 raw
2024-09-23,32.9200,37.1500,32.6600,36.3000,29301900,sz.300496 | 中科创达 | baostock | adjustflag=3 raw
2024-09-24,35.7300,36.3800,34.3000,36.2600,29549799,sz.300496 | 中科创达 | baostock | adjustflag=3 raw
2024-09-25,36.2100,37.6600,36.0600,36.7000,27675596,sz.300496 | 中科创达 | baostock | adjustflag=3 raw
2024-09-26,36.5800,39.1800,36.2300,39.0100,32841401,sz.300496 | 中科创达 | baostock | adjustflag=3 raw
2024-09-27,40.1000,44.9800,38.9600,43.7900,42988496,sz.300496 | 中科创达 | baostock | adjustflag=3 raw
