time,open,high,low,close,volume,note
2021-06-04,84.0200,89.5000,83.7000,88.2500,4521819,sh.605358 | 立昂微 | baostock | adjustflag=3 raw
2021-06-07,91.5300,95.0000,91.5300,92.8500,5508365,sh.605358 | 立昂微 | baostock | adjustflag=3 raw
2021-06-08,92.8500,94.2000,90.1800,91.9800,3908808,sh.605358 | 立昂微 | baostock | adjustflag=3 raw
2021-06-09,91.4500,96.8800,90.2600,93.0500,3313006,sh.605358 | 立昂微 | baostock | adjustflag=3 raw
2021-06-10,92.8300,95.2200,91.2600,95.2000,4044966,sh.605358 | 立昂微 | baostock | adjustflag=3 raw
2021-06-11,95.5000,96.0000,91.3300,93.8000,3731799,sh.605358 | 立昂微 | baostock | adjustflag=3 raw
2021-06-15,91.7300,95.0000,91.7200,92.1200,2674038,sh.605358 | 立昂微 | baostock | adjustflag=3 raw
2021-06-16,92.9900,98.8800,92.9300,93.5900,4889774,sh.605358 | 立昂微 | baostock | adjustflag=3 raw
2021-06-17,91.1200,102.8200,91.0000,101.8600,6792595,sh.605358 | 立昂微 | baostock | adjustflag=3 raw
2021-06-18,101.8600,103.8000,97.0000,100.3600,5384034,sh.605358 | 立昂微 | baostock | adjustflag=3 raw
2021-06-21,98.2800,100.3000,97.1700,99.2900,3855010,sh.605358 | 立昂微 | baostock | adjustflag=3 raw
2021-06-22,99.6000,100.4900,95.5000,96.8100,2908618,sh.605358 | 立昂微 | baostock | adjustflag=3 raw
2021-06-23,96.8000,102.0000,96.1100,99.9900,4720135,sh.605358 | 立昂微 | baostock | adjustflag=3 raw
2021-06-24,99.6000,100.9000,95.0000,96.1200,3646416,sh.605358 | 立昂微 | baostock | adjustflag=3 raw
2021-06-25,95.3000,97.1200,91.9200,94.5600,3076117,sh.605358 | 立昂微 | baostock | adjustflag=3 raw
2021-06-28,94.0000,104.0200,94.0000,104.0200,6939110,sh.605358 | 立昂微 | baostock | adjustflag=3 raw
2021-06-29,106.2100,114.4200,106.2100,114.4200,9210444,sh.605358 | 立昂微 | baostock | adjustflag=3 raw
2021-06-30,118.5000,118.9700,108.6000,115.5800,7867797,sh.605358 | 立昂微 | baostock | adjustflag=3 raw
2021-07-01,115.7500,116.4800,110.3000,110.3000,4893396,sh.605358 | 立昂微 | baostock | adjustflag=3 raw
2021-07-02,113.2000,114.5500,106.0500,108.0000,5333497,sh.605358 | 立昂微 | baostock | adjustflag=3 raw
2021-07-05,110.5000,111.4800,105.8400,111.0000,4920428,sh.605358 | 立昂微 | baostock | adjustflag=3 raw
2021-07-06,110.0000,112.9700,99.9000,104.0000,7529197,sh.605358 | 立昂微 | baostock | adjustflag=3 raw
2021-07-07,102.3700,105.7000,98.5000,105.5800,4806949,sh.605358 | 立昂微 | baostock | adjustflag=3 raw
2021-07-08,104.3800,116.1400,103.5900,114.5100,10612384,sh.605358 | 立昂微 | baostock | adjustflag=3 raw
2021-07-09,112.6600,114.2000,104.8100,109.9900,7056653,sh.605358 | 立昂微 | baostock | adjustflag=3 raw
2021-07-12,109.0000,120.9900,108.0000,120.9900,8674760,sh.605358 | 立昂微 | baostock | adjustflag=3 raw
2021-07-13,120.5000,125.5000,114.6900,117.2000,6841719,sh.605358 | 立昂微 | baostock | adjustflag=3 raw
2021-07-14,116.0000,128.9200,114.9500,124.2100,9525800,sh.605358 | 立昂微 | baostock | adjustflag=3 raw
2021-07-15,124.0900,125.0000,119.2400,121.9300,5682171,sh.605358 | 立昂微 | baostock | adjustflag=3 raw
2021-07-16,124.0000,131.6000,122.5000,123.1600,6553518,sh.605358 | 立昂微 | baostock | adjustflag=3 raw
2021-07-19,122.6500,135.4800,122.4000,135.4800,8472249,sh.605358 | 立昂微 | baostock | adjustflag=3 raw
2021-07-20,132.9200,148.2100,130.0800,147.5200,7538685,sh.605358 | 立昂微 | baostock | adjustflag=3 raw
2021-07-21,150.0000,162.2700,147.9400,162.2700,4855818,sh.605358 | 立昂微 | baostock | adjustflag=3 raw
2021-07-22,162.2700,177.1800,160.1100,168.1500,7872670,sh.605358 | 立昂微 | baostock | adjustflag=3 raw
2021-07-23,166.6300,172.8000,160.7300,168.9900,5467104,sh.605358 | 立昂微 | baostock | adjustflag=3 raw
2021-07-26,165.8000,168.8700,157.2100,164.5300,4795052,sh.605358 | 立昂微 | baostock | adjustflag=3 raw
2021-07-27,164.5000,180.9700,162.1800,168.1000,6884905,sh.605358 | 立昂微 | baostock | adjustflag=3 raw
2021-07-28,160.0000,171.9800,151.6100,161.3200,5861974,sh.605358 | 立昂微 | baostock | adjustflag=3 raw
2021-07-29,168.0000,177.0000,162.9800,177.0000,5037924,sh.605358 | 立昂微 | baostock | adjustflag=3 raw
2021-07-30,177.0000,188.0700,163.0000,179.1100,6467016,sh.605358 | 立昂微 | baostock | adjustflag=3 raw
2021-08-02,178.9800,180.5800,163.9500,169.0000,5065313,sh.605358 | 立昂微 | baostock | adjustflag=3 raw
2021-08-03,162.0000,165.9700,152.1000,152.1000,4659262,sh.605358 | 立昂微 | baostock | adjustflag=3 raw
2021-08-04,145.0400,161.0000,145.0400,160.7700,6080886,sh.605358 | 立昂微 | baostock | adjustflag=3 raw
2021-08-05,156.1300,165.4800,151.9000,163.1100,4723940,sh.605358 | 立昂微 | baostock | adjustflag=3 raw
2021-08-06,162.1000,166.9900,154.0100,156.9800,3262300,sh.605358 | 立昂微 | baostock | adjustflag=3 raw
2021-08-09,152.3000,152.3000,141.2800,145.9000,5574899,sh.605358 | 立昂微 | baostock | adjustflag=3 raw
2021-08-10,145.0000,147.7700,140.5000,145.6900,3780291,sh.605358 | 立昂微 | baostock | adjustflag=3 raw
2021-08-11,145.6800,148.0000,140.9900,146.7300,3404537,sh.605358 | 立昂微 | baostock | adjustflag=3 raw
2021-08-12,146.7500,153.6400,145.5800,147.4900,3788708,sh.605358 | 立昂微 | baostock | adjustflag=3 raw
2021-08-13,143.4600,145.0000,135.4400,135.8100,5411377,sh.605358 | 立昂微 | baostock | adjustflag=3 raw
2021-08-16,133.1000,141.2600,133.0000,137.2000,3755253,sh.605358 | 立昂微 | baostock | adjustflag=3 raw
2021-08-17,136.0000,138.5700,132.1100,134.0000,2802192,sh.605358 | 立昂微 | baostock | adjustflag=3 raw
2021-08-18,133.7900,135.8800,131.2700,134.9100,2663995,sh.605358 | 立昂微 | baostock | adjustflag=3 raw
2021-08-19,134.7000,140.0400,132.5100,134.3200,3689285,sh.605358 | 立昂微 | baostock | adjustflag=3 raw
2021-08-20,135.0100,139.4100,131.5800,133.9000,3012200,sh.605358 | 立昂微 | baostock | adjustflag=3 raw
2021-08-23,135.5800,139.5000,132.2000,137.5000,3709635,sh.605358 | 立昂微 | baostock | adjustflag=3 raw
2021-08-24,137.3900,145.0000,131.2000,143.9500,5449446,sh.605358 | 立昂微 | baostock | adjustflag=3 raw
2021-08-25,142.0000,143.0000,138.2900,139.3000,3254100,sh.605358 | 立昂微 | baostock | adjustflag=3 raw
2021-08-26,138.5000,141.5000,135.0000,135.0200,2473253,sh.605358 | 立昂微 | baostock | adjustflag=3 raw
2021-08-27,134.0000,134.9800,132.0100,134.3500,2127518,sh.605358 | 立昂微 | baostock | adjustflag=3 raw
2021-08-30,134.3000,143.8800,133.5000,137.2800,3664845,sh.605358 | 立昂微 | baostock | adjustflag=3 raw
2021-08-31,135.3200,136.9900,123.5500,123.5600,4470040,sh.605358 | 立昂微 | baostock | adjustflag=3 raw
2021-09-01,120.0000,125.9700,113.0000,124.3000,4545338,sh.605358 | 立昂微 | baostock | adjustflag=3 raw
