time,open,high,low,close,volume,note
2019-11-18,140.0000,145.5100,125.0000,126.3500,42314660,sh.688111 | 金山办公 | baostock | adjustflag=3 raw
2022-08-04,177.8600,185.9500,177.5300,184.5700,4765236,sh.688111 | 金山办公 | baostock | adjustflag=3 raw
2022-08-05,185.3300,203.2700,184.0000,202.1600,7673394,sh.688111 | 金山办公 | baostock | adjustflag=3 raw
2022-08-08,207.3300,207.9900,197.2100,198.8900,5886935,sh.688111 | 金山办公 | baostock | adjustflag=3 raw
2022-08-09,199.9100,200.3000,187.5900,192.0000,4121654,sh.688111 | 金山办公 | baostock | adjustflag=3 raw
2022-08-10,190.0000,193.9200,188.3900,190.4400,1963791,sh.688111 | 金山办公 | baostock | adjustflag=3 raw
2022-08-11,191.8500,194.8800,190.0100,191.6000,1854532,sh.688111 | 金山办公 | baostock | adjustflag=3 raw
2022-08-12,191.6000,193.0000,187.4500,188.1000,1687462,sh.688111 | 金山办公 | baostock | adjustflag=3 raw
2022-08-15,189.0400,191.1700,184.6400,186.6600,1654143,sh.688111 | 金山办公 | baostock | adjustflag=3 raw
2022-08-16,186.6600,187.6400,175.7900,177.0000,3824700,sh.688111 | 金山办公 | baostock | adjustflag=3 raw
2022-08-17,177.9500,180.0000,175.5000,177.6700,2229843,sh.688111 | 金山办公 | baostock | adjustflag=3 raw
2022-08-18,177.4500,177.4500,171.3100,172.3300,2923718,sh.688111 | 金山办公 | baostock | adjustflag=3 raw
2022-08-19,171.9000,175.4000,170.1200,170.1200,2041451,sh.688111 | 金山办公 | baostock | adjustflag=3 raw
2022-08-22,170.0000,173.0000,166.0600,172.2100,2372603,sh.688111 | 金山办公 | baostock | adjustflag=3 raw
2022-08-23,171.0000,175.6800,171.0000,175.0500,3379026,sh.688111 | 金山办公 | baostock | adjustflag=3 raw
2022-08-24,178.0000,180.0000,167.3500,168.0000,3575249,sh.688111 | 金山办公 | baostock | adjustflag=3 raw
2022-08-25,166.0600,169.6900,160.0700,164.1300,3903836,sh.688111 | 金山办公 | baostock | adjustflag=3 raw
2022-08-26,165.0900,166.2300,161.6100,162.2000,1740247,sh.688111 | 金山办公 | baostock | adjustflag=3 raw
2022-08-29,160.0800,163.4900,159.0000,163.0000,2807859,sh.688111 | 金山办公 | baostock | adjustflag=3 raw
2022-08-30,166.0000,174.4400,161.5000,173.9600,3818957,sh.688111 | 金山办公 | baostock | adjustflag=3 raw
2022-08-31,173.0100,185.0000,172.0000,180.1200,4787866,sh.688111 | 金山办公 | baostock | adjustflag=3 raw
2022-09-01,183.0000,194.9800,183.0000,190.6100,5080287,sh.688111 | 金山办公 | baostock | adjustflag=3 raw
2022-09-02,194.0000,194.0000,182.6600,188.3500,3181997,sh.688111 | 金山办公 | baostock | adjustflag=3 raw
2022-09-05,192.0000,192.0000,184.3400,188.8800,2828498,sh.688111 | 金山办公 | baostock | adjustflag=3 raw
2022-09-06,188.2700,189.0000,180.1300,185.6400,2477519,sh.688111 | 金山办公 | baostock | adjustflag=3 raw
2022-09-07,184.2700,198.0000,182.2100,191.4500,2410900,sh.688111 | 金山办公 | baostock | adjustflag=3 raw
2022-09-08,190.4100,192.7100,187.1300,187.9900,1028247,sh.688111 | 金山办公 | baostock | adjustflag=3 raw
2022-09-09,186.6000,190.5000,186.3600,186.8100,987484,sh.688111 | 金山办公 | baostock | adjustflag=3 raw
2022-09-13,186.2700,196.6800,186.0000,193.5900,2079402,sh.688111 | 金山办公 | baostock | adjustflag=3 raw
2022-09-14,190.2000,209.9900,190.1700,207.0000,4913817,sh.688111 | 金山办公 | baostock | adjustflag=3 raw
2022-09-15,209.0000,218.0000,207.0100,212.9600,4664126,sh.688111 | 金山办公 | baostock | adjustflag=3 raw
2022-09-16,210.1600,235.0000,208.0000,220.9900,5972976,sh.688111 | 金山办公 | baostock | adjustflag=3 raw
2022-09-19,220.9900,229.9900,214.1000,219.7300,4585941,sh.688111 | 金山办公 | baostock | adjustflag=3 raw
2022-09-20,220.1800,222.0000,209.9600,213.0000,3289673,sh.688111 | 金山办公 | baostock | adjustflag=3 raw
2022-09-21,212.8900,213.8900,208.3600,210.8900,2393808,sh.688111 | 金山办公 | baostock | adjustflag=3 raw
2022-09-22,210.8900,219.9000,208.5000,216.7600,2745244,sh.688111 | 金山办公 | baostock | adjustflag=3 raw
2022-09-23,214.3000,228.0000,214.3000,216.3000,2904396,sh.688111 | 金山办公 | baostock | adjustflag=3 raw
2022-09-26,213.0000,216.7200,205.4800,206.6700,3467499,sh.688111 | 金山办公 | baostock | adjustflag=3 raw
2022-09-27,207.8700,211.5000,204.1800,209.8900,2977357,sh.688111 | 金山办公 | baostock | adjustflag=3 raw
2022-09-28,208.5200,211.6000,206.0000,206.8500,1842007,sh.688111 | 金山办公 | baostock | adjustflag=3 raw
2022-09-29,209.1300,210.5000,201.2700,205.0000,2152836,sh.688111 | 金山办公 | baostock | adjustflag=3 raw
2022-09-30,202.0000,208.0000,200.1100,201.1100,1440374,sh.688111 | 金山办公 | baostock | adjustflag=3 raw
2022-10-10,201.1100,203.8000,195.0000,198.9200,2234886,sh.688111 | 金山办公 | baostock | adjustflag=3 raw
2022-10-11,197.0500,202.8000,191.0000,198.5500,2422504,sh.688111 | 金山办公 | baostock | adjustflag=3 raw
2022-10-12,198.4600,233.0000,192.0100,226.4300,3818617,sh.688111 | 金山办公 | baostock | adjustflag=3 raw
2022-10-13,225.0000,253.0000,224.9600,234.6100,5662024,sh.688111 | 金山办公 | baostock | adjustflag=3 raw
2022-10-14,237.7800,245.6400,227.0600,231.5300,4463101,sh.688111 | 金山办公 | baostock | adjustflag=3 raw
2022-10-17,232.5000,246.2600,231.0000,242.0500,5166085,sh.688111 | 金山办公 | baostock | adjustflag=3 raw
2022-10-18,242.0000,244.8000,229.0300,235.7000,3932701,sh.688111 | 金山办公 | baostock | adjustflag=3 raw
2022-10-19,235.0000,253.0000,229.7700,245.0000,5070438,sh.688111 | 金山办公 | baostock | adjustflag=3 raw
2022-10-20,240.5000,267.0000,240.3300,256.0000,5885108,sh.688111 | 金山办公 | baostock | adjustflag=3 raw
2022-10-21,254.0000,278.9200,250.0000,277.0800,4834104,sh.688111 | 金山办公 | baostock | adjustflag=3 raw
2022-10-24,277.0000,296.0000,271.9700,286.0100,5708870,sh.688111 | 金山办公 | baostock | adjustflag=3 raw
2022-10-25,279.0000,282.9900,255.0000,265.0000,7228801,sh.688111 | 金山办公 | baostock | adjustflag=3 raw
2022-10-26,260.0500,292.2000,260.0500,276.7000,7017641,sh.688111 | 金山办公 | baostock | adjustflag=3 raw
2022-10-27,278.0000,297.5100,266.0100,270.3000,5713442,sh.688111 | 金山办公 | baostock | adjustflag=3 raw
2022-10-28,269.2900,280.9700,266.8100,272.9500,4755765,sh.688111 | 金山办公 | baostock | adjustflag=3 raw
2022-10-31,270.0000,297.8800,268.1800,290.7400,5240812,sh.688111 | 金山办公 | baostock | adjustflag=3 raw
2022-11-01,290.0000,308.5000,279.0800,285.0100,5370720,sh.688111 | 金山办公 | baostock | adjustflag=3 raw
2022-11-02,282.0000,290.9600,274.0000,284.6200,4472152,sh.688111 | 金山办公 | baostock | adjustflag=3 raw
2022-11-03,278.9300,284.0000,266.1700,267.0000,6086731,sh.688111 | 金山办公 | baostock | adjustflag=3 raw
2022-11-04,268.2600,278.4800,266.0000,275.0000,5230296,sh.688111 | 金山办公 | baostock | adjustflag=3 raw
2022-11-07,277.2500,286.9400,266.7500,274.9700,3746404,sh.688111 | 金山办公 | baostock | adjustflag=3 raw
2022-11-08,274.3600,284.0000,265.9500,281.3000,5226875,sh.688111 | 金山办公 | baostock | adjustflag=3 raw
2022-11-09,279.7400,279.8600,267.1100,272.5000,3555881,sh.688111 | 金山办公 | baostock | adjustflag=3 raw
2022-11-10,268.1100,279.8000,268.1000,269.5000,3033293,sh.688111 | 金山办公 | baostock | adjustflag=3 raw
2022-11-11,269.0000,272.7800,251.0000,262.5000,6633817,sh.688111 | 金山办公 | baostock | adjustflag=3 raw
