time,open,high,low,close,volume,note
2010-01-04,8.1100,8.1300,7.9900,8.0100,13471969,sh.600011 | 华能国际 | baostock | adjustflag=3 raw
2010-09-09,6.1400,6.1400,6.0500,6.0700,5191088,sh.600011 | 华能国际 | baostock | adjustflag=3 raw
2010-09-13,6.0500,6.0900,6.0200,6.0800,4072543,sh.600011 | 华能国际 | baostock | adjustflag=3 raw
2010-09-14,6.0700,6.2800,6.0200,6.1800,9407449,sh.600011 | 华能国际 | baostock | adjustflag=3 raw
2010-09-15,6.1500,6.1800,6.0800,6.0900,4845786,sh.600011 | 华能国际 | baostock | adjustflag=3 raw
2010-09-16,6.0900,6.1400,6.0000,6.0500,5190196,sh.600011 | 华能国际 | baostock | adjustflag=3 raw
2010-09-17,6.2000,6.5000,6.1900,6.3500,27175667,sh.600011 | 华能国际 | baostock | adjustflag=3 raw
2010-09-20,6.3400,6.3400,6.1400,6.1900,9041106,sh.600011 | 华能国际 | baostock | adjustflag=3 raw
2010-09-21,6.1900,6.2200,6.0800,6.1200,4465626,sh.600011 | 华能国际 | baostock | adjustflag=3 raw
2010-09-27,6.1200,6.1600,6.0600,6.1300,5405737,sh.600011 | 华能国际 | baostock | adjustflag=3 raw
2010-09-28,6.1000,6.1200,6.0500,6.0600,4932691,sh.600011 | 华能国际 | baostock | adjustflag=3 raw
2010-09-29,6.0800,6.1300,6.0500,6.0600,4433712,sh.600011 | 华能国际 | baostock | adjustflag=3 raw
2010-09-30,6.0600,6.1700,6.0500,6.1400,4626204,sh.600011 | 华能国际 | baostock | adjustflag=3 raw
2010-10-08,6.1400,6.2400,6.1300,6.2100,8407418,sh.600011 | 华能国际 | baostock | adjustflag=3 raw
2010-10-11,6.3500,6.4400,6.3000,6.4200,19767884,sh.600011 | 华能国际 | baostock | adjustflag=3 raw
2010-10-12,6.4100,6.5600,6.3300,6.4800,17839961,sh.600011 | 华能国际 | baostock | adjustflag=3 raw
2010-10-13,6.4700,6.4900,6.4000,6.4400,11321184,sh.600011 | 华能国际 | baostock | adjustflag=3 raw
2010-10-14,6.4400,6.5500,6.3600,6.4900,19877386,sh.600011 | 华能国际 | baostock | adjustflag=3 raw
2010-10-15,6.5000,6.7500,6.4600,6.7100,30333171,sh.600011 | 华能国际 | baostock | adjustflag=3 raw
2010-10-18,6.7500,7.1200,6.6900,6.8200,36981372,sh.600011 | 华能国际 | baostock | adjustflag=3 raw
2010-10-19,6.7900,6.8200,6.6500,6.7900,18536167,sh.600011 | 华能国际 | baostock | adjustflag=3 raw
2010-10-20,6.6400,6.6900,6.5400,6.5900,18031674,sh.600011 | 华能国际 | baostock | adjustflag=3 raw
2010-10-21,6.5900,6.6900,6.5600,6.6300,10754535,sh.600011 | 华能国际 | baostock | adjustflag=3 raw
