time,open,high,low,close,volume,note
2022-07-29,69.0500,75.5000,68.0600,75.0000,50798556,sz.301269 | 华大九天 | baostock | adjustflag=3 raw
2023-01-31,92.3000,93.5500,91.5600,92.3100,2951248,sz.301269 | 华大九天 | baostock | adjustflag=3 raw
2023-02-01,92.5100,96.0000,92.0500,95.9000,5155491,sz.301269 | 华大九天 | baostock | adjustflag=3 raw
2023-02-02,96.1100,99.9700,95.5600,97.3500,5935936,sz.301269 | 华大九天 | baostock | adjustflag=3 raw
2023-02-03,96.2000,101.4800,95.8800,99.5000,6211644,sz.301269 | 华大九天 | baostock | adjustflag=3 raw
2023-02-06,98.9900,99.4300,97.0000,97.6800,3691635,sz.301269 | 华大九天 | baostock | adjustflag=3 raw
2023-02-07,97.7800,101.4400,96.2600,99.8800,5510253,sz.301269 | 华大九天 | baostock | adjustflag=3 raw
2023-02-08,99.0100,101.9900,96.3600,96.9900,4394991,sz.301269 | 华大九天 | baostock | adjustflag=3 raw
2023-02-09,96.3200,100.0000,95.2000,99.7900,5550199,sz.301269 | 华大九天 | baostock | adjustflag=3 raw
2023-02-10,98.5000,101.7500,98.5000,99.2000,4872821,sz.301269 | 华大九天 | baostock | adjustflag=3 raw
2023-02-13,98.0200,100.2200,97.9700,99.5800,3694710,sz.301269 | 华大九天 | baostock | adjustflag=3 raw
2023-02-14,100.5000,106.5300,100.4500,103.4500,9389833,sz.301269 | 华大九天 | baostock | adjustflag=3 raw
2023-02-15,103.0100,104.4700,100.8600,103.7500,5522587,sz.301269 | 华大九天 | baostock | adjustflag=3 raw
2023-02-16,103.7500,104.0000,98.4000,99.2100,5631688,sz.301269 | 华大九天 | baostock | adjustflag=3 raw
2023-02-17,99.2100,100.2100,95.9200,96.0000,3925110,sz.301269 | 华大九天 | baostock | adjustflag=3 raw
2023-02-20,96.0000,97.3500,94.7800,97.1200,2948478,sz.301269 | 华大九天 | baostock | adjustflag=3 raw
2023-02-21,97.0000,97.4500,93.2500,94.2200,4508763,sz.301269 | 华大九天 | baostock | adjustflag=3 raw
2023-02-22,93.4000,101.0600,93.1000,99.9000,7053085,sz.301269 | 华大九天 | baostock | adjustflag=3 raw
2023-02-23,99.4700,100.3300,97.4100,98.1500,3443553,sz.301269 | 华大九天 | baostock | adjustflag=3 raw
2023-02-24,98.1500,100.1500,97.3500,97.4300,3303216,sz.301269 | 华大九天 | baostock | adjustflag=3 raw
2023-02-27,96.7700,97.0800,94.6000,94.7800,2558911,sz.301269 | 华大九天 | baostock | adjustflag=3 raw
2023-02-28,95.8500,96.6400,93.7700,96.2000,2442109,sz.301269 | 华大九天 | baostock | adjustflag=3 raw
2023-03-01,95.6000,98.1800,95.3000,97.9200,3062838,sz.301269 | 华大九天 | baostock | adjustflag=3 raw
2023-03-02,98.0200,98.9000,96.1100,96.2000,2999617,sz.301269 | 华大九天 | baostock | adjustflag=3 raw
2023-03-03,99.8000,106.0000,99.5800,104.0500,11505582,sz.301269 | 华大九天 | baostock | adjustflag=3 raw
2023-03-06,105.2000,105.3000,101.0000,103.4700,6381623,sz.301269 | 华大九天 | baostock | adjustflag=3 raw
2023-03-07,102.5500,103.2600,99.0800,99.1200,4886663,sz.301269 | 华大九天 | baostock | adjustflag=3 raw
2023-03-08,99.1000,103.0000,99.0000,101.9700,5032447,sz.301269 | 华大九天 | baostock | adjustflag=3 raw
2023-03-09,102.8800,105.2500,101.5300,102.2300,6149624,sz.301269 | 华大九天 | baostock | adjustflag=3 raw
2023-03-10,101.0100,111.6800,100.1800,106.9900,9791853,sz.301269 | 华大九天 | baostock | adjustflag=3 raw
2023-03-13,106.3000,109.6000,105.1100,108.0900,7065231,sz.301269 | 华大九天 | baostock | adjustflag=3 raw
2023-03-14,107.0000,112.9700,105.6700,111.1000,9391477,sz.301269 | 华大九天 | baostock | adjustflag=3 raw
2023-03-15,110.2800,112.7600,108.5800,109.1600,5833363,sz.301269 | 华大九天 | baostock | adjustflag=3 raw
2023-03-16,107.7000,110.5900,106.1000,106.5900,4832109,sz.301269 | 华大九天 | baostock | adjustflag=3 raw
2023-03-17,108.0000,112.6700,106.3100,110.3400,6569574,sz.301269 | 华大九天 | baostock | adjustflag=3 raw
2023-03-20,109.8000,116.6200,109.2700,114.0200,8553805,sz.301269 | 华大九天 | baostock | adjustflag=3 raw
2023-03-21,113.0100,114.9500,108.5000,110.5500,6866800,sz.301269 | 华大九天 | baostock | adjustflag=3 raw
2023-03-22,110.5500,114.5700,109.8200,112.9700,6805111,sz.301269 | 华大九天 | baostock | adjustflag=3 raw
2023-03-23,110.0000,120.5000,109.6000,118.9700,10714525,sz.301269 | 华大九天 | baostock | adjustflag=3 raw
2023-03-24,117.4700,130.7500,117.1000,122.3400,13033491,sz.301269 | 华大九天 | baostock | adjustflag=3 raw
2023-03-27,125.0000,131.0000,119.3400,124.5000,12743519,sz.301269 | 华大九天 | baostock | adjustflag=3 raw
2023-03-28,120.2100,120.6800,115.1600,116.4000,9586496,sz.301269 | 华大九天 | baostock | adjustflag=3 raw
2023-03-29,116.0000,124.9800,115.5000,122.1500,9289242,sz.301269 | 华大九天 | baostock | adjustflag=3 raw
2023-03-30,121.0000,124.4200,118.4000,122.6000,6519126,sz.301269 | 华大九天 | baostock | adjustflag=3 raw
2023-03-31,123.0300,125.5000,120.2000,123.3200,5919646,sz.301269 | 华大九天 | baostock | adjustflag=3 raw
2023-04-03,124.3600,127.9800,121.3600,126.4600,9243413,sz.301269 | 华大九天 | baostock | adjustflag=3 raw
2023-04-04,125.3500,139.4500,125.0000,133.8800,11940346,sz.301269 | 华大九天 | baostock | adjustflag=3 raw
2023-04-06,130.0500,139.8900,129.9000,131.8800,9865158,sz.301269 | 华大九天 | baostock | adjustflag=3 raw
2023-04-07,140.0000,145.3900,134.2200,136.9100,11012141,sz.301269 | 华大九天 | baostock | adjustflag=3 raw
2023-04-10,135.0000,138.4100,127.5000,128.2200,9206069,sz.301269 | 华大九天 | baostock | adjustflag=3 raw
2023-04-11,128.0000,132.6800,127.0200,129.5600,6878070,sz.301269 | 华大九天 | baostock | adjustflag=3 raw
2023-04-12,128.0000,131.2300,124.0300,129.2800,6570712,sz.301269 | 华大九天 | baostock | adjustflag=3 raw
2023-04-13,127.9000,129.9200,121.9600,122.8800,6636611,sz.301269 | 华大九天 | baostock | adjustflag=3 raw
2023-04-14,124.3000,131.9800,122.0000,130.4900,8015275,sz.301269 | 华大九天 | baostock | adjustflag=3 raw
2023-04-17,129.5000,132.2000,126.1000,127.0000,5833855,sz.301269 | 华大九天 | baostock | adjustflag=3 raw
2023-04-18,125.6500,127.4000,120.1800,123.4000,5763117,sz.301269 | 华大九天 | baostock | adjustflag=3 raw
2023-04-19,123.4000,126.8700,122.4900,123.0000,5427745,sz.301269 | 华大九天 | baostock | adjustflag=3 raw
2023-04-20,122.8000,125.7900,121.7400,125.0600,5062405,sz.301269 | 华大九天 | baostock | adjustflag=3 raw
2023-04-21,125.0000,125.4900,115.0800,115.3000,7728053,sz.301269 | 华大九天 | baostock | adjustflag=3 raw
2023-04-24,115.0500,118.0000,114.1800,115.4600,4218155,sz.301269 | 华大九天 | baostock | adjustflag=3 raw
2023-04-25,115.4400,120.9400,113.7000,117.0200,5765756,sz.301269 | 华大九天 | baostock | adjustflag=3 raw
2023-04-26,115.0100,117.6000,109.0000,112.4000,5124735,sz.301269 | 华大九天 | baostock | adjustflag=3 raw
2023-04-27,111.5000,115.6000,110.5000,112.1000,3623826,sz.301269 | 华大九天 | baostock | adjustflag=3 raw
2023-04-28,115.0000,117.5100,113.8000,116.1200,4744834,sz.301269 | 华大九天 | baostock | adjustflag=3 raw
2023-05-04,115.0000,116.3000,112.2000,114.8000,2993349,sz.301269 | 华大九天 | baostock | adjustflag=3 raw
2023-05-05,114.2500,116.7400,111.8100,112.3600,2704051,sz.301269 | 华大九天 | baostock | adjustflag=3 raw
2023-05-08,112.5000,116.6000,110.6700,115.1200,3073613,sz.301269 | 华大九天 | baostock | adjustflag=3 raw
2023-05-09,114.7600,118.4500,114.2200,115.5600,3303730,sz.301269 | 华大九天 | baostock | adjustflag=3 raw
2023-05-10,114.0000,116.5300,110.6500,113.1500,3258696,sz.301269 | 华大九天 | baostock | adjustflag=3 raw
2023-05-11,114.9900,118.8600,112.6000,116.7500,4008250,sz.301269 | 华大九天 | baostock | adjustflag=3 raw
2023-05-12,115.6800,118.9900,114.0100,114.1000,3038607,sz.301269 | 华大九天 | baostock | adjustflag=3 raw
2023-05-15,112.0000,112.9500,107.4000,110.0000,4587138,sz.301269 | 华大九天 | baostock | adjustflag=3 raw
2023-05-16,109.7400,113.3300,108.5000,111.0500,3077615,sz.301269 | 华大九天 | baostock | adjustflag=3 raw
2023-05-17,110.0000,114.1000,109.3800,112.5300,2413098,sz.301269 | 华大九天 | baostock | adjustflag=3 raw
2023-05-18,112.7000,115.1000,110.0800,110.6400,3098365,sz.301269 | 华大九天 | baostock | adjustflag=3 raw
2023-05-19,111.0000,113.3300,109.1100,111.7100,3050763,sz.301269 | 华大九天 | baostock | adjustflag=3 raw
2023-05-22,112.3500,112.8000,109.2400,109.9400,2012391,sz.301269 | 华大九天 | baostock | adjustflag=3 raw
2023-05-23,109.1200,109.8400,105.7700,105.7800,3331172,sz.301269 | 华大九天 | baostock | adjustflag=3 raw
2023-05-24,105.8400,108.2000,104.5000,106.9000,2255643,sz.301269 | 华大九天 | baostock | adjustflag=3 raw
2023-05-25,106.8000,108.6500,104.5000,106.5100,1819452,sz.301269 | 华大九天 | baostock | adjustflag=3 raw
2023-05-26,106.4500,109.1000,106.4500,109.0100,2420641,sz.301269 | 华大九天 | baostock | adjustflag=3 raw
2023-05-29,110.3200,113.8800,109.0800,113.4400,4844938,sz.301269 | 华大九天 | baostock | adjustflag=3 raw
2023-05-30,112.0000,114.2800,110.6200,114.0000,3221913,sz.301269 | 华大九天 | baostock | adjustflag=3 raw
2023-05-31,113.8900,124.0000,112.8500,120.1300,6626803,sz.301269 | 华大九天 | baostock | adjustflag=3 raw
2023-06-01,118.7500,124.4800,117.9000,123.8400,4338445,sz.301269 | 华大九天 | baostock | adjustflag=3 raw
2023-06-02,122.5200,122.9500,118.8900,120.5500,3215110,sz.301269 | 华大九天 | baostock | adjustflag=3 raw
2023-06-05,119.3500,122.9700,118.5100,121.5500,2995565,sz.301269 | 华大九天 | baostock | adjustflag=3 raw
2023-06-06,120.9000,124.4200,119.4800,120.6300,3513979,sz.301269 | 华大九天 | baostock | adjustflag=3 raw
2023-06-07,120.5700,122.8900,119.6300,121.1800,2412927,sz.301269 | 华大九天 | baostock | adjustflag=3 raw
2023-06-08,122.0000,123.8600,119.7000,122.8400,3398764,sz.301269 | 华大九天 | baostock | adjustflag=3 raw
2023-06-09,121.9800,130.0000,120.5000,126.2500,6483391,sz.301269 | 华大九天 | baostock | adjustflag=3 raw
2023-06-12,126.8700,128.4200,123.1000,124.3900,3820205,sz.301269 | 华大九天 | baostock | adjustflag=3 raw
2023-06-13,123.7600,126.2600,123.7600,124.5000,1927165,sz.301269 | 华大九天 | baostock | adjustflag=3 raw
2023-06-14,124.0000,124.5000,119.8800,121.1000,3567514,sz.301269 | 华大九天 | baostock | adjustflag=3 raw
2023-06-15,121.1000,122.4000,119.0000,120.0000,2686071,sz.301269 | 华大九天 | baostock | adjustflag=3 raw
2023-06-16,120.0000,121.7900,119.0200,120.7800,1888977,sz.301269 | 华大九天 | baostock | adjustflag=3 raw
2023-06-19,120.8000,121.9800,118.4200,121.3100,2187922,sz.301269 | 华大九天 | baostock | adjustflag=3 raw
2023-06-20,121.0000,122.8000,119.6500,121.1400,2468752,sz.301269 | 华大九天 | baostock | adjustflag=3 raw
2023-06-21,120.0500,120.6000,115.5500,115.9500,3139944,sz.301269 | 华大九天 | baostock | adjustflag=3 raw
2023-06-26,114.6000,115.8800,110.2200,112.7100,2138792,sz.301269 | 华大九天 | baostock | adjustflag=3 raw
2023-06-27,112.7100,115.6800,112.0000,114.5400,1458575,sz.301269 | 华大九天 | baostock | adjustflag=3 raw
2023-06-28,114.5500,117.8000,113.3800,116.1000,2280452,sz.301269 | 华大九天 | baostock | adjustflag=3 raw
2023-06-29,115.6600,118.5700,113.8000,115.1600,1767756,sz.301269 | 华大九天 | baostock | adjustflag=3 raw
2023-06-30,114.4100,122.9900,113.8800,122.8400,3999678,sz.301269 | 华大九天 | baostock | adjustflag=3 raw
2023-07-03,122.9000,123.5000,120.2800,120.7700,2152499,sz.301269 | 华大九天 | baostock | adjustflag=3 raw
2023-07-04,120.7800,121.7000,118.0100,120.8700,2050827,sz.301269 | 华大九天 | baostock | adjustflag=3 raw
2023-07-05,120.1000,123.5600,119.0700,121.1700,2388670,sz.301269 | 华大九天 | baostock | adjustflag=3 raw
2023-07-06,120.5000,121.0000,118.3900,118.8100,1942310,sz.301269 | 华大九天 | baostock | adjustflag=3 raw
