time,open,high,low,close,volume,note
2026-01-05,8.7000,8.7800,8.6600,8.7400,22959809,sh.600064 | 南京高科 | baostock | adjustflag=3 raw
2026-03-05,8.6500,8.7000,8.5900,8.6100,21881877,sh.600064 | 南京高科 | baostock | adjustflag=3 raw
2026-03-06,8.5800,8.7400,8.5800,8.7100,16128853,sh.600064 | 南京高科 | baostock | adjustflag=3 raw
2026-03-09,8.6300,8.6600,8.5500,8.6100,18724043,sh.600064 | 南京高科 | baostock | adjustflag=3 raw
2026-03-10,8.6400,8.6900,8.6200,8.6600,12507957,sh.600064 | 南京高科 | baostock | adjustflag=3 raw
2026-03-11,8.6600,8.7800,8.6000,8.7500,16506459,sh.600064 | 南京高科 | baostock | adjustflag=3 raw
2026-03-12,8.7500,8.8500,8.7200,8.8100,15507024,sh.600064 | 南京高科 | baostock | adjustflag=3 raw
2026-03-13,8.7800,8.9700,8.7700,8.8900,21432423,sh.600064 | 南京高科 | baostock | adjustflag=3 raw
2026-03-16,8.9000,8.9300,8.8200,8.8400,15686172,sh.600064 | 南京高科 | baostock | adjustflag=3 raw
2026-03-17,8.8400,8.9800,8.8300,8.8300,18468453,sh.600064 | 南京高科 | baostock | adjustflag=3 raw
2026-03-18,8.8600,8.8600,8.7200,8.7900,14644940,sh.600064 | 南京高科 | baostock | adjustflag=3 raw
2026-03-19,8.7500,8.7800,8.6200,8.6200,16744184,sh.600064 | 南京高科 | baostock | adjustflag=3 raw
2026-03-20,8.6400,8.7000,8.5500,8.5500,15539320,sh.600064 | 南京高科 | baostock | adjustflag=3 raw
2026-03-23,8.4800,8.4800,7.9000,7.9700,36358527,sh.600064 | 南京高科 | baostock | adjustflag=3 raw
2026-03-24,8.1700,8.1900,7.9800,8.1500,18607897,sh.600064 | 南京高科 | baostock | adjustflag=3 raw
2026-03-25,8.1600,8.3700,8.1400,8.2900,18637658,sh.600064 | 南京高科 | baostock | adjustflag=3 raw
2026-03-26,8.2700,8.3700,8.2600,8.2800,11767348,sh.600064 | 南京高科 | baostock | adjustflag=3 raw
2026-03-27,8.2400,8.3200,8.2100,8.2900,11358865,sh.600064 | 南京高科 | baostock | adjustflag=3 raw
2026-03-30,8.2500,8.4100,8.1900,8.3700,15350775,sh.600064 | 南京高科 | baostock | adjustflag=3 raw
2026-03-31,8.3700,8.4900,8.3400,8.3500,12335443,sh.600064 | 南京高科 | baostock | adjustflag=3 raw
2026-04-01,8.4200,8.5400,8.3800,8.4000,16141181,sh.600064 | 南京高科 | baostock | adjustflag=3 raw
2026-04-02,8.3800,8.4300,8.3100,8.3300,10107084,sh.600064 | 南京高科 | baostock | adjustflag=3 raw
2026-04-03,8.3600,8.3600,8.1500,8.2000,12263185,sh.600064 | 南京高科 | baostock | adjustflag=3 raw
2026-04-07,8.2000,8.2500,8.1500,8.2200,10610438,sh.600064 | 南京高科 | baostock | adjustflag=3 raw
2026-04-08,8.3600,8.4200,8.3100,8.4000,15427574,sh.600064 | 南京高科 | baostock | adjustflag=3 raw
2026-04-09,8.3600,8.3900,8.3000,8.3000,10357853,sh.600064 | 南京高科 | baostock | adjustflag=3 raw
2026-04-10,8.3400,8.4600,8.3100,8.3900,14091967,sh.600064 | 南京高科 | baostock | adjustflag=3 raw
2026-04-13,8.3800,8.3800,8.3100,8.3100,8900610,sh.600064 | 南京高科 | baostock | adjustflag=3 raw
2026-04-14,8.3600,8.4500,8.3100,8.4300,14938243,sh.600064 | 南京高科 | baostock | adjustflag=3 raw
2026-04-15,8.4700,8.4800,8.4000,8.4200,10207787,sh.600064 | 南京高科 | baostock | adjustflag=3 raw
2026-04-16,8.4200,8.4900,8.4100,8.4800,9459741,sh.600064 | 南京高科 | baostock | adjustflag=3 raw
2026-04-17,8.5000,8.6400,8.4800,8.5800,15018503,sh.600064 | 南京高科 | baostock | adjustflag=3 raw
2026-04-20,8.5600,8.5900,8.5000,8.5400,11549604,sh.600064 | 南京高科 | baostock | adjustflag=3 raw
2026-04-21,8.5400,8.6000,8.5300,8.5800,11270328,sh.600064 | 南京高科 | baostock | adjustflag=3 raw
2026-04-22,8.5800,8.7500,8.5600,8.7300,16113144,sh.600064 | 南京高科 | baostock | adjustflag=3 raw
2026-04-23,8.4300,8.4300,8.1100,8.1600,52511157,sh.600064 | 南京高科 | baostock | adjustflag=3 raw
