time,open,high,low,close,volume,note
2026-01-05,7.6600,7.7300,7.6200,7.7200,40047268,sh.600061 | 国投资本 | baostock | adjustflag=3 raw
2026-02-03,7.6000,7.6200,7.4500,7.5100,51038916,sh.600061 | 国投资本 | baostock | adjustflag=3 raw
2026-02-04,7.5100,7.6100,7.4800,7.6000,45258780,sh.600061 | 国投资本 | baostock | adjustflag=3 raw
2026-02-05,7.5800,7.6500,7.5300,7.6200,39739376,sh.600061 | 国投资本 | baostock | adjustflag=3 raw
2026-02-06,7.5800,7.6500,7.5500,7.5600,30469270,sh.600061 | 国投资本 | baostock | adjustflag=3 raw
2026-02-09,7.6100,7.6400,7.5900,7.6300,27261702,sh.600061 | 国投资本 | baostock | adjustflag=3 raw
2026-02-10,7.6400,7.7800,7.6100,7.7000,45163211,sh.600061 | 国投资本 | baostock | adjustflag=3 raw
2026-02-11,7.7200,7.7800,7.6800,7.7800,37990233,sh.600061 | 国投资本 | baostock | adjustflag=3 raw
2026-02-12,7.7800,7.7900,7.7000,7.7300,35215087,sh.600061 | 国投资本 | baostock | adjustflag=3 raw
2026-02-13,7.7400,7.7700,7.5800,7.5800,30339465,sh.600061 | 国投资本 | baostock | adjustflag=3 raw
2026-02-24,7.6100,7.6200,7.5600,7.5700,32947810,sh.600061 | 国投资本 | baostock | adjustflag=3 raw
2026-02-25,7.5800,7.7200,7.4700,7.5000,98450722,sh.600061 | 国投资本 | baostock | adjustflag=3 raw
2026-02-26,7.5100,7.5200,7.4300,7.4600,41235643,sh.600061 | 国投资本 | baostock | adjustflag=3 raw
2026-02-27,7.4500,7.4800,7.4100,7.4600,38827336,sh.600061 | 国投资本 | baostock | adjustflag=3 raw
2026-03-02,7.4000,7.4400,7.3000,7.3900,48606160,sh.600061 | 国投资本 | baostock | adjustflag=3 raw
2026-03-03,7.4100,7.4800,7.3600,7.3600,56558344,sh.600061 | 国投资本 | baostock | adjustflag=3 raw
2026-03-04,7.3500,7.3700,7.1600,7.1800,52818646,sh.600061 | 国投资本 | baostock | adjustflag=3 raw
2026-03-05,7.2400,7.2700,7.1900,7.2100,24731840,sh.600061 | 国投资本 | baostock | adjustflag=3 raw
2026-03-06,7.1900,7.3000,7.1800,7.2800,30076460,sh.600061 | 国投资本 | baostock | adjustflag=3 raw
2026-03-09,7.2000,7.2300,7.1700,7.1900,27037369,sh.600061 | 国投资本 | baostock | adjustflag=3 raw
2026-03-10,7.2300,7.2700,7.2100,7.2400,25438781,sh.600061 | 国投资本 | baostock | adjustflag=3 raw
2026-03-11,7.2500,7.3200,7.2100,7.2900,33697395,sh.600061 | 国投资本 | baostock | adjustflag=3 raw
2026-03-12,7.2700,7.3500,7.2600,7.3300,30773061,sh.600061 | 国投资本 | baostock | adjustflag=3 raw
2026-03-13,7.3100,7.3800,7.2900,7.3000,28363349,sh.600061 | 国投资本 | baostock | adjustflag=3 raw
2026-03-16,7.3000,7.3300,7.2700,7.3000,21187815,sh.600061 | 国投资本 | baostock | adjustflag=3 raw
2026-03-17,7.3200,7.4300,7.3100,7.3300,44276924,sh.600061 | 国投资本 | baostock | adjustflag=3 raw
2026-03-18,7.3200,7.3400,7.2700,7.3000,24611285,sh.600061 | 国投资本 | baostock | adjustflag=3 raw
2026-03-19,7.2700,7.3100,7.2300,7.2600,25710164,sh.600061 | 国投资本 | baostock | adjustflag=3 raw
2026-03-20,7.2500,7.2900,7.1700,7.1700,29193292,sh.600061 | 国投资本 | baostock | adjustflag=3 raw
2026-03-23,7.0900,7.0900,6.7500,6.7900,53994228,sh.600061 | 国投资本 | baostock | adjustflag=3 raw
2026-03-24,6.8500,6.9000,6.7600,6.8800,26119610,sh.600061 | 国投资本 | baostock | adjustflag=3 raw
2026-03-25,6.8900,6.9600,6.8600,6.9100,33868655,sh.600061 | 国投资本 | baostock | adjustflag=3 raw
2026-03-26,6.8900,6.9300,6.8100,6.8200,25712869,sh.600061 | 国投资本 | baostock | adjustflag=3 raw
2026-03-27,6.7800,6.8900,6.7700,6.8800,20756042,sh.600061 | 国投资本 | baostock | adjustflag=3 raw
2026-03-30,6.8100,6.9000,6.7800,6.8800,23439597,sh.600061 | 国投资本 | baostock | adjustflag=3 raw
2026-03-31,6.8700,7.0200,6.8600,6.9300,29936784,sh.600061 | 国投资本 | baostock | adjustflag=3 raw
2026-04-01,7.0100,7.0400,6.9700,7.0100,22815806,sh.600061 | 国投资本 | baostock | adjustflag=3 raw
2026-04-02,6.9900,7.0000,6.9100,6.9500,17823985,sh.600061 | 国投资本 | baostock | adjustflag=3 raw
2026-04-03,6.9300,6.9500,6.7100,6.7200,37797128,sh.600061 | 国投资本 | baostock | adjustflag=3 raw
2026-04-07,6.7300,6.7700,6.7000,6.7300,20269856,sh.600061 | 国投资本 | baostock | adjustflag=3 raw
2026-04-08,6.8400,6.9500,6.8100,6.9400,38784957,sh.600061 | 国投资本 | baostock | adjustflag=3 raw
2026-04-09,6.8900,6.9000,6.7500,6.7700,27516339,sh.600061 | 国投资本 | baostock | adjustflag=3 raw
2026-04-10,6.8500,7.0600,6.8300,6.9200,55862759,sh.600061 | 国投资本 | baostock | adjustflag=3 raw
2026-04-13,6.8800,7.0200,6.8600,6.9700,29781071,sh.600061 | 国投资本 | baostock | adjustflag=3 raw
2026-04-14,7.0100,7.0300,6.9200,7.0000,23329649,sh.600061 | 国投资本 | baostock | adjustflag=3 raw
2026-04-15,7.0100,7.0200,6.9600,6.9700,18929899,sh.600061 | 国投资本 | baostock | adjustflag=3 raw
2026-04-16,6.9900,7.0100,6.9300,6.9600,29419965,sh.600061 | 国投资本 | baostock | adjustflag=3 raw
2026-04-17,6.9500,6.9500,6.8700,6.8900,29495535,sh.600061 | 国投资本 | baostock | adjustflag=3 raw
2026-04-20,6.8900,6.9100,6.8000,6.8400,36229318,sh.600061 | 国投资本 | baostock | adjustflag=3 raw
2026-04-21,6.8400,6.8400,6.7200,6.7600,32936884,sh.600061 | 国投资本 | baostock | adjustflag=3 raw
2026-04-22,6.7400,6.8100,6.6600,6.7000,58051134,sh.600061 | 国投资本 | baostock | adjustflag=3 raw
2026-04-23,6.6800,6.7100,6.5900,6.6200,41071396,sh.600061 | 国投资本 | baostock | adjustflag=3 raw
