time,open,high,low,close,volume,note
2026-01-05,8.5200,8.5200,8.3600,8.3900,29532760,sh.600057 | 厦门象屿 | baostock | adjustflag=3 raw
2026-04-08,8.1500,8.3600,8.1400,8.3500,23146240,sh.600057 | 厦门象屿 | baostock | adjustflag=3 raw
2026-04-09,8.3000,8.4000,8.2000,8.2800,14173405,sh.600057 | 厦门象屿 | baostock | adjustflag=3 raw
2026-04-10,8.2900,8.3900,8.2800,8.3200,11916344,sh.600057 | 厦门象屿 | baostock | adjustflag=3 raw
2026-04-13,8.5000,8.5400,8.0500,8.0600,20729478,sh.600057 | 厦门象屿 | baostock | adjustflag=3 raw
2026-04-14,8.0500,8.0900,7.8600,7.9200,19231954,sh.600057 | 厦门象屿 | baostock | adjustflag=3 raw
2026-04-15,7.9300,7.9900,7.8900,7.9000,11129997,sh.600057 | 厦门象屿 | baostock | adjustflag=3 raw
2026-04-16,7.9300,7.9700,7.8600,7.9400,10388750,sh.600057 | 厦门象屿 | baostock | adjustflag=3 raw
2026-04-17,7.9300,8.2400,7.9000,8.0700,20084024,sh.600057 | 厦门象屿 | baostock | adjustflag=3 raw
2026-04-20,8.0200,8.2100,7.9500,8.0000,14887271,sh.600057 | 厦门象屿 | baostock | adjustflag=3 raw
2026-04-21,7.9900,8.1800,7.9700,8.1400,12775503,sh.600057 | 厦门象屿 | baostock | adjustflag=3 raw
2026-04-22,8.1300,8.2500,8.0400,8.0700,13990659,sh.600057 | 厦门象屿 | baostock | adjustflag=3 raw
2026-04-23,8.0300,8.0700,7.3000,7.3800,45797270,sh.600057 | 厦门象屿 | baostock | adjustflag=3 raw
2026-04-24,7.1700,7.2500,6.7300,6.8400,53724695,sh.600057 | 厦门象屿 | baostock | adjustflag=3 raw
2026-04-27,6.8400,7.1200,6.8100,6.9000,64505519,sh.600057 | 厦门象屿 | baostock | adjustflag=3 raw
2026-04-28,6.9300,7.2500,6.8400,7.1500,44732199,sh.600057 | 厦门象屿 | baostock | adjustflag=3 raw
2026-04-29,7.1000,7.3600,7.1000,7.2900,38872486,sh.600057 | 厦门象屿 | baostock | adjustflag=3 raw
2026-04-30,7.6000,7.6000,7.0200,7.2300,57667980,sh.600057 | 厦门象屿 | baostock | adjustflag=3 raw
2026-05-06,7.1600,7.1700,6.9900,7.0400,43484969,sh.600057 | 厦门象屿 | baostock | adjustflag=3 raw
2026-05-07,7.0200,7.0700,6.9300,6.9800,27154030,sh.600057 | 厦门象屿 | baostock | adjustflag=3 raw
2026-05-08,6.9400,7.1200,6.9400,7.0500,28471301,sh.600057 | 厦门象屿 | baostock | adjustflag=3 raw
2026-05-11,7.0500,7.0500,6.8400,6.9200,40324130,sh.600057 | 厦门象屿 | baostock | adjustflag=3 raw
2026-05-12,6.9100,6.9200,6.7600,6.8900,30715506,sh.600057 | 厦门象屿 | baostock | adjustflag=3 raw
2026-05-13,6.8700,6.8900,6.7900,6.8500,21688097,sh.600057 | 厦门象屿 | baostock | adjustflag=3 raw
2026-05-14,6.8500,6.8700,6.7400,6.7500,18289479,sh.600057 | 厦门象屿 | baostock | adjustflag=3 raw
2026-05-15,6.7800,6.8000,6.6300,6.6600,19054398,sh.600057 | 厦门象屿 | baostock | adjustflag=3 raw
2026-05-18,6.6300,6.6400,6.3900,6.4400,27490593,sh.600057 | 厦门象屿 | baostock | adjustflag=3 raw
