time,open,high,low,close,volume,note
2026-01-05,21.1100,21.3500,21.0100,21.2600,77539132,sh.600031 | 三一重工 | baostock | adjustflag=3 raw
2026-04-02,20.1200,20.3800,19.8500,20.0700,68669521,sh.600031 | 三一重工 | baostock | adjustflag=3 raw
2026-04-03,20.0700,20.3400,19.8300,19.8800,49732027,sh.600031 | 三一重工 | baostock | adjustflag=3 raw
2026-04-07,19.9200,20.0200,19.4500,19.5200,57924487,sh.600031 | 三一重工 | baostock | adjustflag=3 raw
2026-04-08,20.2000,20.9400,20.2000,20.8600,119092726,sh.600031 | 三一重工 | baostock | adjustflag=3 raw
2026-04-09,20.7000,20.8500,20.5700,20.6600,54080197,sh.600031 | 三一重工 | baostock | adjustflag=3 raw
2026-04-10,20.9100,20.9900,20.6400,20.6600,53900416,sh.600031 | 三一重工 | baostock | adjustflag=3 raw
2026-04-13,20.5500,20.7300,20.3200,20.3600,61629262,sh.600031 | 三一重工 | baostock | adjustflag=3 raw
2026-04-14,20.5800,20.9500,20.5800,20.8600,71622124,sh.600031 | 三一重工 | baostock | adjustflag=3 raw
2026-04-15,20.9600,21.1400,20.6400,20.6600,61881986,sh.600031 | 三一重工 | baostock | adjustflag=3 raw
2026-04-16,20.7200,20.9600,20.2100,20.3900,82141123,sh.600031 | 三一重工 | baostock | adjustflag=3 raw
2026-04-17,20.4700,20.4700,19.9200,20.1600,68437427,sh.600031 | 三一重工 | baostock | adjustflag=3 raw
2026-04-20,20.0800,20.1200,19.7100,19.9200,71212162,sh.600031 | 三一重工 | baostock | adjustflag=3 raw
2026-04-21,19.9900,20.1200,19.8100,19.9300,58677025,sh.600031 | 三一重工 | baostock | adjustflag=3 raw
2026-04-22,19.9400,20.0300,19.6100,19.7800,70775589,sh.600031 | 三一重工 | baostock | adjustflag=3 raw
2026-04-23,19.7200,19.8600,19.5200,19.6000,54981577,sh.600031 | 三一重工 | baostock | adjustflag=3 raw
2026-04-24,19.5000,19.6600,19.3100,19.5200,45886770,sh.600031 | 三一重工 | baostock | adjustflag=3 raw
2026-04-27,19.5900,19.6400,19.4000,19.5000,47176779,sh.600031 | 三一重工 | baostock | adjustflag=3 raw
2026-04-28,19.5500,20.3900,19.4900,20.1400,132024861,sh.600031 | 三一重工 | baostock | adjustflag=3 raw
2026-04-29,20.0700,20.5000,20.0700,20.5000,99209946,sh.600031 | 三一重工 | baostock | adjustflag=3 raw
2026-04-30,20.0700,20.7800,19.9800,20.3500,122216399,sh.600031 | 三一重工 | baostock | adjustflag=3 raw
2026-05-06,20.6000,21.0500,20.3100,20.9100,149478928,sh.600031 | 三一重工 | baostock | adjustflag=3 raw
2026-05-07,21.0200,21.1000,20.7300,20.9800,101532853,sh.600031 | 三一重工 | baostock | adjustflag=3 raw
2026-05-08,20.9000,20.9000,20.3100,20.5300,107276039,sh.600031 | 三一重工 | baostock | adjustflag=3 raw
2026-05-11,21.4000,22.4800,21.4000,21.8400,235732947,sh.600031 | 三一重工 | baostock | adjustflag=3 raw
2026-05-12,21.6900,21.7900,21.2500,21.3600,108155556,sh.600031 | 三一重工 | baostock | adjustflag=3 raw
2026-05-13,21.2000,21.4600,21.0300,21.3900,86102011,sh.600031 | 三一重工 | baostock | adjustflag=3 raw
2026-05-14,21.3800,21.5500,20.6000,20.6100,83983269,sh.600031 | 三一重工 | baostock | adjustflag=3 raw
2026-05-15,20.6000,20.9800,20.3500,20.4600,86100106,sh.600031 | 三一重工 | baostock | adjustflag=3 raw
2026-05-18,20.4000,20.4000,19.2100,19.3900,115802896,sh.600031 | 三一重工 | baostock | adjustflag=3 raw
2026-05-19,19.5200,19.5600,19.0000,19.3100,75523667,sh.600031 | 三一重工 | baostock | adjustflag=3 raw
2026-05-20,19.3200,19.7100,18.9900,19.4000,71977912,sh.600031 | 三一重工 | baostock | adjustflag=3 raw
2026-05-21,19.5000,20.0100,18.9400,18.9600,125111670,sh.600031 | 三一重工 | baostock | adjustflag=3 raw
2026-05-22,19.3000,19.3000,18.8000,18.9600,67257679,sh.600031 | 三一重工 | baostock | adjustflag=3 raw
2026-05-25,19.1100,19.4400,18.6900,18.8300,72783760,sh.600031 | 三一重工 | baostock | adjustflag=3 raw
2026-05-26,18.7800,19.1300,18.5800,18.8800,111160540,sh.600031 | 三一重工 | baostock | adjustflag=3 raw
2026-05-27,18.8800,18.8800,18.1500,18.4700,115093946,sh.600031 | 三一重工 | baostock | adjustflag=3 raw
2026-05-28,18.4200,18.4300,17.6500,17.9000,104250919,sh.600031 | 三一重工 | baostock | adjustflag=3 raw
2026-05-29,17.8900,18.5500,17.8900,17.9400,134198980,sh.600031 | 三一重工 | baostock | adjustflag=3 raw
2026-06-01,17.9100,18.2300,17.3800,18.0700,131284017,sh.600031 | 三一重工 | baostock | adjustflag=3 raw
2026-06-02,18.0000,18.3600,17.6600,18.1400,88539755,sh.600031 | 三一重工 | baostock | adjustflag=3 raw
2026-06-03,18.1100,18.3300,17.8000,17.9600,78023516,sh.600031 | 三一重工 | baostock | adjustflag=3 raw
2026-06-04,17.9000,18.3900,17.8200,18.1400,93987276,sh.600031 | 三一重工 | baostock | adjustflag=3 raw
2026-06-05,18.3000,18.9200,18.2000,18.6500,136492800,sh.600031 | 三一重工 | baostock | adjustflag=3 raw
2026-06-08,19.0000,19.9900,19.0000,19.5100,230172808,sh.600031 | 三一重工 | baostock | adjustflag=3 raw
2026-06-09,19.5900,19.9300,19.1500,19.9200,142899633,sh.600031 | 三一重工 | baostock | adjustflag=3 raw
2026-06-10,19.9200,19.9900,18.6800,18.8500,125417611,sh.600031 | 三一重工 | baostock | adjustflag=3 raw
2026-06-11,18.6100,18.6900,18.0000,18.2200,93407397,sh.600031 | 三一重工 | baostock | adjustflag=3 raw
2026-06-12,18.4000,19.2200,18.4000,18.9100,113054955,sh.600031 | 三一重工 | baostock | adjustflag=3 raw
2026-06-15,19.3200,19.8900,19.0000,19.1900,92063668,sh.600031 | 三一重工 | baostock | adjustflag=3 raw
2026-06-16,19.2200,19.3100,18.5900,18.6500,90231127,sh.600031 | 三一重工 | baostock | adjustflag=3 raw
2026-06-17,18.5500,18.9300,18.4500,18.9100,70538058,sh.600031 | 三一重工 | baostock | adjustflag=3 raw
2026-06-18,18.8100,18.8900,18.2900,18.3700,77265765,sh.600031 | 三一重工 | baostock | adjustflag=3 raw
2026-06-22,18.3000,18.9900,17.9100,18.9500,101609564,sh.600031 | 三一重工 | baostock | adjustflag=3 raw
2026-06-23,18.8800,18.9800,17.9800,18.0500,100784312,sh.600031 | 三一重工 | baostock | adjustflag=3 raw
2026-06-24,18.1500,18.1800,17.5300,17.6200,93843325,sh.600031 | 三一重工 | baostock | adjustflag=3 raw
2026-06-25,17.6000,18.4000,17.6000,17.7500,101283572,sh.600031 | 三一重工 | baostock | adjustflag=3 raw
2026-06-26,17.6400,18.1900,17.6200,17.6800,84077584,sh.600031 | 三一重工 | baostock | adjustflag=3 raw
2026-06-29,17.6100,18.3500,17.1400,18.0200,113099197,sh.600031 | 三一重工 | baostock | adjustflag=3 raw
2026-06-30,17.8800,18.1300,17.2100,17.2800,120797458,sh.600031 | 三一重工 | baostock | adjustflag=3 raw
2026-07-01,17.2900,17.4900,16.6800,17.4300,112907893,sh.600031 | 三一重工 | baostock | adjustflag=3 raw
2026-07-02,17.2100,18.0600,17.2100,17.7700,135549472,sh.600031 | 三一重工 | baostock | adjustflag=3 raw
2026-07-03,17.8500,18.6700,17.8500,18.5600,143217511,sh.600031 | 三一重工 | baostock | adjustflag=3 raw
2026-07-06,18.5200,19.0800,18.4000,18.8900,105703997,sh.600031 | 三一重工 | baostock | adjustflag=3 raw
2026-07-07,19.3000,19.9800,19.3000,19.4400,168222030,sh.600031 | 三一重工 | baostock | adjustflag=3 raw
2026-07-08,19.2100,19.4000,18.8300,18.8500,92769237,sh.600031 | 三一重工 | baostock | adjustflag=3 raw
2026-07-09,18.7200,18.8000,18.1400,18.5700,88332787,sh.600031 | 三一重工 | baostock | adjustflag=3 raw
